galaxyID,FOV,pixel,view,band,PA,n,Re,Ie,Mstar_ahf_cat,b_a,flag
11,63,3150,projection_yz,band_g,2.746985854705078,0.7968489829611722,21.0109602912584,5.975982863463396,76964300000.0,0.9150735097827802,none
11,63,3150,projection_zx,band_g,1.7184138876475017,0.6288022434293921,21.524059161168307,6.081751196087306,76964300000.0,0.6799299895324342,none
12,24,1200,projection_xy,band_g,0.2824391094727773,0.3600000012564796,18.564231766803573,6.82801894875818,125885000000.0,0.4245416933528616,fit
12,24,1200,projection_yz,band_g,2.459059998295138,7.082495702525249,4383.502443059132,3.3404588132327704,125885000000.0,0.6666448940110912,fit
12,24,1200,projection_zx,band_g,1.009897606784485,0.9842562656800508,21.22052737034078,6.9046217198996285,125885000000.0,0.1614807678975031,none
13,46,2300,projection_xy,band_g,1.0869104685545423,0.873170883273076,15.56604367323142,6.597461938115159,82778900000.0,0.9999999981320508,fit
13,46,2300,projection_yz,band_g,2.940434280103825,0.3600000012198274,26.5514140012668,6.923686490494181,82778900000.0,0.2560917846920632,fit
13,46,2300,projection_zx,band_g,1.9615586031265335,0.7298038148426849,27.586403893573888,6.424965805231815,82778900000.0,0.9999998998490452,fit
14,4,200,projection_xy,band_g,1.99810560560946,1.341604478428528,5.2179393868839234,5.941847579618376,125215000000.0,0.9999999761733416,fit
14,4,200,projection_yz,band_g,0.0581341025761865,0.3600000042565525,3.313868503596059,6.404770073957903,125215000000.0,0.7856366316750926,fit
14,4,200,projection_zx,band_g,1.40533060603397,0.3600000003270709,3.10928139758957,6.3539086371270095,125215000000.0,0.8150129076300385,fit
15,25,1250,projection_xy,band_g,3.0992065124784767,0.3600000009583817,11.798121511177776,6.687096365812943,86051500000.0,0.5830333163734844,fit
15,25,1250,projection_yz,band_g,2.1391451188709034,0.3600000158843545,11.164463828829644,6.667053823718145,86051500000.0,0.9999999715348356,fit
15,25,1250,projection_zx,band_g,1.095937707067617,0.4673093483725802,12.58741852365753,6.634347873090272,86051500000.0,0.409046822347654,none
16,24,1200,projection_xy,band_g,1.9390482515277123,0.3600000037891641,13.317030532243464,6.208192799531727,109319000000.0,0.7866855811665228,fit
16,24,1200,projection_yz,band_g,3.054774183142536,0.3600000031544914,13.951393827627584,6.222905421463085,109319000000.0,0.7491581077198873,fit
16,24,1200,projection_zx,band_g,1.7189603862610012,0.3600000014063564,13.56096068188007,6.2127168152816905,109319000000.0,0.8901597370733528,fit
17,67,3350,projection_xy,band_g,0.3702864707665497,0.514310155246282,24.9352582389242,6.029343908041263,112929000000.0,0.8914020247262389,none
17,67,3350,projection_yz,band_g,3.0641730821399817,0.5588661390279015,26.523204983874013,5.99990358782573,112929000000.0,0.8890599625510724,none
17,67,3350,projection_zx,band_g,1.1681862282086355,0.5047637598998095,27.940595233287716,6.026160733252872,112929000000.0,0.7444792279413963,none
19,20,1000,projection_xy,band_g,0.7589529678541269,0.3600000009371801,11.323216047381385,6.386368519222059,69812500000.0,0.7760835995085328,fit
19,20,1000,projection_yz,band_g,2.1425981544439425,0.3600000017096939,11.449653819495976,6.3846147800831945,69812500000.0,0.647343992794183,fit
19,20,1000,projection_zx,band_g,0.6345323908296265,0.3600000002196026,11.9453778512816,6.377022855507195,69812500000.0,0.5584055069484941,fit
20,38,1900,projection_xy,band_g,2.0506223533903807,0.5311571429150241,18.03077185984711,6.190121913272408,83515800000.0,0.9999999665570772,fit
20,38,1900,projection_yz,band_g,1.990074586196186,0.5419574897807834,18.268321357902764,6.322693174966411,83515800000.0,0.3522229344813166,none
20,38,1900,projection_zx,band_g,3.048586060153529,0.3600000009445369,17.62389579243347,6.364138905309455,83515800000.0,0.4805059556866141,fit
21,16,800,projection_xy,band_g,0.0982134713728902,0.6764450166334015,6.436602430704672,7.368323927971366,80857500000.0,0.1026415599059713,none
21,16,800,projection_yz,band_g,2.1811827111936566,0.360000000684547,7.26551968948105,6.678040435485028,80857500000.0,0.908413143808512,fit
21,16,800,projection_zx,band_g,1.4440093449737263,4.153760290883719,70.39553776283832,5.203446813560686,80857500000.0,0.3215255995064144,fit
22,18,900,projection_xy,band_g,1.885296267850678,0.5853559415355769,35.25810662971272,6.504394389247614,54832900000.0,0.1109501358553637,none
22,18,900,projection_yz,band_g,0.1959780792236397,2.8459735525488217,52.02940772109519,5.818373258420042,54832900000.0,0.1492954399079509,fit
22,18,900,projection_zx,band_g,0.5814980627548527,0.3600000138054323,14.03710446259442,6.390818547079474,54832900000.0,0.8849285129495389,fit
24,28,1400,projection_xy,band_g,0.0079458621395255,0.3600000044650228,14.166208810307712,6.306644576495772,63827900000.0,0.4058256826082148,fit
24,28,1400,projection_yz,band_g,1.2070122542065889,0.4152983594187063,14.265856709001737,6.230507749097018,63827900000.0,0.99999999388377,fit
24,28,1400,projection_zx,band_g,1.792606685244036,7.383325070771363,387.1626418179016,3.781543512983738,63827900000.0,0.319016568866218,fit
25,35,1750,projection_xy,band_g,2.9303471873913387,0.3880553475265185,18.157258647487552,6.078841235863028,74994500000.0,0.613902580505478,none
25,35,1750,projection_yz,band_g,1.932499278551296,0.4173639671103634,16.676917056772947,6.074057851789595,74994500000.0,0.8941171818786868,none
25,35,1750,projection_zx,band_g,2.1012419787452523,0.3600000038282068,19.602259556092,6.071236534540254,74994500000.0,0.4562873347606307,fit
27,24,1200,projection_xy,band_g,1.217195114127288,0.3600000040096048,12.743581007125131,6.2730765451617865,64692400000.0,0.7990728104163048,fit
27,24,1200,projection_yz,band_g,1.850118209378362,0.3734552916214299,10.033281774794666,6.292473059274395,64692400000.0,0.9999999875535086,fit
27,24,1200,projection_zx,band_g,2.797563170384562,0.3600000023303555,12.443599548867365,6.299756517026735,64692400000.0,0.7953111759593914,fit
28,19,950,projection_xy,band_g,1.2893522586571682,0.3600000038728227,10.533011565732272,6.34716265476371,38058700000.0,0.788638439932937,fit
28,19,950,projection_yz,band_g,2.275984018464728,0.3600000055875142,11.03979786365906,6.337962320641571,38058700000.0,0.3783923982532458,fit
28,19,950,projection_zx,band_g,0.3056021156790363,0.360000004704302,10.956403153137758,6.333303285811675,38058700000.0,0.6449222047359877,fit
29,50,2500,projection_xy,band_g,0.8856053470149666,0.3629427662694265,18.550022500153684,6.29140236333145,53089100000.0,0.5960045556515936,fit
29,50,2500,projection_yz,band_g,2.6395378805056238,0.3600000079059149,18.837950289241107,6.300887681708456,53089100000.0,0.6350890479209372,fit
29,50,2500,projection_zx,band_g,1.0142274687627035,0.360000001701918,18.067109426378178,6.289442810657252,53089100000.0,0.740597105187554,fit
30,31,1550,projection_xy,band_g,0.4071756151568654,0.3600000391905479,14.05080278933776,6.256806989539278,60857000000.0,0.8607558198795427,fit
