galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
10,64,3200,projection_yz,mockmass,0.8584428962010464,2.240440761194718,1.1928145328724846,1.8482170338149704,6.801702789706334,152778000000.0
10,64,3200,projection_zx,mockmass,0.855696470940055,1.9303457396480528,1.153865817110932,1.6868197945881958,6.8799473405189575,152778000000.0
11,63,3150,projection_xy,mockmass,0.6170778039126669,2.599605621197427,0.9876547310382394,2.266403842310152,6.497606839652011,76964300000.0
11,63,3150,projection_yz,mockmass,0.7089559253248784,0.2161593851744058,1.0179041632409318,2.8954026824254946,6.23071048490566,76964300000.0
11,63,3150,projection_zx,mockmass,0.5832442867334808,1.772472169266275,0.9558497371130076,2.8166408621548418,6.346130771898086,76964300000.0
12,24,1200,projection_xy,mockmass,0.6100215923045507,2.040722618279933,0.978053444435536,2.0635520145451203,6.794490033144145,125885000000.0
12,24,1200,projection_yz,mockmass,0.9058419254344988,0.1072346460219048,0.9732439869350068,1.5879236463127624,6.839231214893273,125885000000.0
12,24,1200,projection_zx,mockmass,0.5737133994629172,0.6048192997689912,0.9932790581427016,2.210460661768562,6.768348496997027,125885000000.0
13,46,2300,projection_xy,mockmass,0.6645695857932407,1.381605897851666,1.1283010037365069,1.5710533259016233,6.798928176876737,82778900000.0
13,46,2300,projection_yz,mockmass,0.62910493130529,3.140909690920087,1.1115758166053458,1.6965282935270996,6.754193142717741,82778900000.0
13,46,2300,projection_zx,mockmass,0.6151291882415275,0.8958460878566205,1.0865483282202382,1.8506941021983452,6.675663241533012,82778900000.0
14,4,200,projection_xy,mockmass,0.818008987713513,2.739868283337896,0.601099881694994,1.4896011856269815,6.726532187680352,125215000000.0
14,4,200,projection_yz,mockmass,0.4569953319756911,1.9456318871021028,0.7133878822510156,1.572926168874273,6.886290229965052,125215000000.0
14,4,200,projection_zx,mockmass,0.6954762460401063,2.972219230793907,0.782843015473035,1.3127938514432855,6.851773549250816,125215000000.0
15,25,1250,projection_xy,mockmass,0.494333249298407,3.072544707720684,0.9930775175387788,2.167908265665862,6.733155866333371,86051500000.0
15,25,1250,projection_yz,mockmass,0.7089258154230345,1.4777031447802669,0.9918450262563334,2.0070335911577373,6.610382997525179,86051500000.0
15,25,1250,projection_zx,mockmass,0.4290010886683116,1.1721262345459509,1.2511051703434362,1.868179097921148,6.893096279750467,86051500000.0
16,24,1200,projection_xy,mockmass,0.5309879771553396,2.152879449926845,0.99060455951921,1.744976024021739,7.006683649745688,109319000000.0
16,24,1200,projection_yz,mockmass,0.6276773270266413,0.0487793898644239,0.8685877769666002,1.9451708333387197,6.848132332665256,109319000000.0
16,24,1200,projection_zx,mockmass,0.6100999968547621,2.036995457541982,0.8699113856163738,2.0467995045552465,6.809596007417956,109319000000.0
17,67,3350,projection_xy,mockmass,0.7827246519905029,0.4567128755688835,1.449821558817876,1.94941701684474,6.5647115119244575,112929000000.0
17,67,3350,projection_yz,mockmass,0.787179723978538,2.509411744007527,1.419545570888883,2.1974361293693936,6.469611537803188,112929000000.0
17,67,3350,projection_zx,mockmass,0.6795262477174427,1.0909740183958436,1.4425673298032966,2.1554148527856136,6.541469932941379,112929000000.0
19,20,1000,projection_xy,mockmass,0.9623251042139168,0.5916256769272128,1.1202870672573078,1.6247263783252823,6.501848656335017,69812500000.0
19,20,1000,projection_yz,mockmass,0.6089473593370084,2.2771816651611667,1.164996534072524,1.9657604847264327,6.549510772020575,69812500000.0
19,20,1000,projection_zx,mockmass,0.5694649505448209,0.7388602639996759,1.1097416769092687,1.945587753903452,6.595773154473662,69812500000.0
20,38,1900,projection_xy,mockmass,0.7678676098120283,1.2650192503011697,1.3038458343666446,3.3232238126451934,6.1223658478225,83515800000.0
20,38,1900,projection_yz,mockmass,0.3316551549462052,1.968107967683004,1.3962271041658547,3.378010623091108,6.504487714621346,83515800000.0
20,38,1900,projection_zx,mockmass,0.486668748415302,3.006133110721053,1.1807771382849626,3.27910325340237,6.371209474738071,83515800000.0
21,16,800,projection_xy,mockmass,0.8365492324530377,1.4972302525603052,1.3509130847395845,1.4406241196527334,6.515446551238119,80857500000.0
21,16,800,projection_yz,mockmass,0.5654170069097643,1.3756294906016058,1.5019736212289303,1.3319806068364823,6.748267625413528,80857500000.0
21,16,800,projection_zx,mockmass,0.5019344513796586,3.078834000764482,1.226060488261697,1.4507549696403603,6.759826790734392,80857500000.0
22,18,900,projection_xy,mockmass,0.4794709106526597,1.920987276995111,1.282096541441588,1.9182662605020573,6.573324885736149,54832900000.0
22,18,900,projection_yz,mockmass,0.8755959996921002,0.9389539754356434,1.062353951225596,0.994858189734316,6.876274859870847,54832900000.0
22,18,900,projection_zx,mockmass,0.5610457554935185,3.1032761968669087,1.1825648050602935,1.704021305867444,6.593592466428691,54832900000.0
