galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange
720,15,750,projection_zx,band_g,9429524.558091262,5,0.242063227574149,-1.249220258073048,2.8292724388520654,1.525232243706666,2.1213407966903906,none,210863580.0,0.580923569894566,0.0369192833372252,0.5,12
720,15,750,projection_zx,band_g,1135520.045259254,1,-0.2004021860687268,-1.3360837944944612,5.484834522498412,3.9913649263447306,2.1097743409629715,none,399341800.0,0.7282020222865909,0.0050982751489772,0.9,12
737,11,550,projection_xy,band_g,2391295.637138219,4,0.4333327226319644,-0.1356591173979268,3.314113456656448,3.049856977640635,0.2874954272005125,none,101436130.0,0.9309307675031384,0.0163277067523853,0.5,12
737,11,550,projection_xy,band_g,294810.1029287885,2,0.3602384403454431,-0.1113873719677717,6.415621059207455,6.139956927956365,2.72324395964223,none,184966110.0,0.9584105543898616,0.0030030105027167,0.9,12
737,11,550,projection_yz,band_g,2448146.2191235414,2,-0.1534820521733661,0.2052156068252603,3.356852647534684,2.860774754562871,0.733304317171649,none,96826216.0,0.8521427889974492,0.0023212888597248,0.5,12
737,11,550,projection_yz,band_g,274745.20239297993,1,-0.0933091491989664,0.3278721693686887,6.742491300726406,5.761496364748671,0.646713176309651,none,177061860.0,0.8540052815736182,0.0053070480524007,0.9,12
737,11,550,projection_zx,band_g,2391295.637138219,2,0.1780582858721342,0.427950485773879,3.308463035111396,3.0323717264567502,1.463922520284611,none,100925910.0,0.9100049084755548,0.0136144606179711,0.5,12
737,11,550,projection_zx,band_g,294810.1029287885,1,0.2823496278967848,0.3638627306851205,6.400172059232282,6.038923338537697,1.7137120632876108,none,183763940.0,0.94290469239707,0.002977442929231,0.9,12
746,33,1650,projection_xy,band_g,4918896.178567858,2,0.6198411507160494,1.3933283960245717,4.755998299695502,3.503633431047099,3.1393503069567514,none,530768800.0,0.716522747943546,0.0396125351351375,0.5,12
746,33,1650,projection_xy,band_g,480125.0439475922,1,1.846020567704385,2.095763015900697,11.05017672995411,9.25477767128284,0.2719414768500838,none,960239550.0,0.8381209018288813,0.0007893285307172,0.9,12
746,33,1650,projection_yz,band_g,6351491.12721653,1,1.238145873061078,1.1367095993156238,4.299948731872376,3.0761104914490374,1.052387655351291,none,527639840.0,0.7158272598846014,0.0012719799069093,0.5,12
746,33,1650,projection_yz,band_g,578586.8832082035,1,2.180419251573057,0.6873729397562278,10.035915813489927,9.219074105059727,1.3470534055770065,none,955550000.0,0.9195438526950692,0.0047239597196747,0.9,12
746,33,1650,projection_zx,band_g,4584114.020193953,4,1.1447783073355011,0.3827562570546869,5.3309086839338224,3.739020524071636,1.7086526002298104,none,531796400.0,0.7566614772849655,0.0693439008038426,0.5,12
746,33,1650,projection_zx,band_g,448085.1428079615,1,0.9870937972178124,1.953073423195098,11.081068957871304,9.985477992604634,1.928304732327586,none,967832600.0,0.8978433543406,0.0050041440407854,0.9,12
747,36,1800,projection_xy,band_g,3987028.5969498884,4,-1.3251689075664783,0.9418658938142438,4.977837063268554,3.739039855686752,0.3402575800598537,none,409988200.0,0.7541240403629909,0.0061233697347296,0.5,12
747,36,1800,projection_xy,band_g,371831.62136345665,1,-0.9077210940225744,0.6497193435600194,11.351597446993477,9.365779459329474,0.6038579435397603,none,751214460.0,0.8245116015576827,0.0015262729469781,0.9,12
747,36,1800,projection_yz,band_g,3016040.9195041764,2,0.954881546262272,-0.9739534090454812,6.863562071942566,3.48869223534694,1.2015152742547848,none,431764160.0,0.5103361926146122,0.0081602075504651,0.5,12
747,36,1800,projection_yz,band_g,301818.9083923873,1,0.6115985215114641,-0.1264136291536282,14.123897696679824,9.496640208457537,1.305380304647201,none,776929340.0,0.6740008413195536,0.0015296689277252,0.9,12
747,36,1800,projection_zx,band_g,3236305.2245209403,4,-1.326970074764717,-1.250820929190659,6.758212093143753,3.4601370212604885,0.5947475456307769,none,416990620.0,0.5313310778952149,0.0368375356455129,0.5,12
