galaxyID,groupID,NearestNeighborDist,NearestNeighborgalaxyID,NearestNeighborRvir,NearestNeighborR80
13299.0,20.0,266.8002485613438,20.0,286.3448479480366,12.871478480843734
13377.0,0.0,195.8965917,3005.0,44.77413640389725,4.663367671422084
13514.0,0.0,129.24333845,305.0,96.67847652790078,11.849866759186348
13781.0,28.0,40.67316770139353,28.0,268.7481547091822,6.537382022403832
13807.0,-1.0,-1.0,-1.0,-1.0,-1.0
14240.0,8.0,94.33332493,6466.0,28.343666961913197,14.064114876103433
14442.0,2.0,153.40783121870962,2.0,608.5769117212873,44.75454495770237
14650.0,-1.0,-1.0,-1.0,-1.0,-1.0
15000.0,7.0,79.13597119,1105.0,57.42545025095955,11.44157913282441
15492.0,1.0,138.50095406,15909.0,21.12488928255093,8.225743426177287
15529.0,-1.0,-1.0,-1.0,-1.0,-1.0
15840.0,34.0,66.83919658854171,34.0,245.89607322113963,8.596351866624243
15909.0,1.0,138.50095406,15492.0,23.280188957779746,8.232280236337244
17026.0,-1.0,-1.0,-1.0,-1.0,-1.0
17588.0,19.0,161.96284509999998,5674.0,34.83909064068497,5.259999841349184
17633.0,-1.0,-1.0,-1.0,-1.0,-1.0
17795.0,0.0,114.22610134,1009.0,24.34307646885149,10.54897743514802
18379.0,2.0,196.73741569999999,2550.0,47.977561263655154,27.66305659906255
18862.0,0.0,159.72631761,30409.0,16.06141127841748,8.93097730086334
19129.0,34.0,170.59971947,15840.0,23.07351638618246,13.797234757351466
19715.0,-1.0,-1.0,-1.0,-1.0,-1.0
20157.0,-1.0,-1.0,-1.0,-1.0,-1.0
20512.0,17.0,165.3241872438097,17.0,344.3607912607027,22.352465214619972
20747.0,2.0,181.16846552,8723.0,28.948922350162384,4.947667187460612
22246.0,0.0,111.32867856,31281.0,9.994095069382935,5.233395260282307
23231.0,3.0,175.948307,340.0,94.00649542367877,12.417186039671963
25513.0,0.0,219.77162013,12654.0,24.904044877472693,4.824188957989484
28102.0,-1.0,-1.0,-1.0,-1.0,-1.0
28823.0,5.0,81.38067957,3209.0,43.04694419840567,9.65190742916966
29309.0,59.0,42.35333703957551,59.0,195.89607322113963,18.197427773005142
30409.0,0.0,159.72631761,18862.0,21.213463241806906,5.454011985627035
31281.0,0.0,98.23847964,18.0,76.08503100088573,11.741410936340946
35974.0,2.0,111.51298336,2550.0,47.977561263655154,27.66305659906255
46322.0,2.0,144.97737489,165.0,85.06052553882492,8.898853306713862
49407.0,12.0,56.13174318100214,12.0,354.9601417183348,8.122891197520484
