level,ncontour,cx,cy,a,b,theta,flag,sim,FOV,pixel,proj
2295091.4760242226,3,1.012187474450149,-1.1537491771807766,1.3759889620155186,1.1042862543880194,2.0944838546280926,none,object_1158,16,800,projection_zx
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1158,16,800,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1158,16,800,projection_zx
144810.482305137,1,-0.17664855089529727,0.2798678641676076,1.8905143150607566,1.484678319487011,1.2926113499512422,none,object_1487,10,500,projection_xy
2295091.4760242226,1,19.999999999999996,-19.999999999999996,41.437437975169274,23.127056316592423,1.5707963268430332,center,object_1487,10,500,projection_xy
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_xy
144810.482305137,1,-0.24573816179596011,-0.34264113207073527,1.855132671611864,1.402072508307053,2.8998391270648525,none,object_1487,10,500,projection_yz
2295091.4760242226,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_yz
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_yz
144810.482305137,1,0.3037574980858746,0.08075128828867761,1.6945207799429505,1.497642310923838,0.9448082951109718,none,object_1487,10,500,projection_zx
2295091.4760242226,1,-0.0956306686793897,0.18364196930541204,0.3728173113729462,0.2912683294775154,0.33249853932269513,none,object_1487,10,500,projection_zx
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1487,10,500,projection_zx
144810.482305137,1,-0.26523040935823006,-0.4978669798602654,1.8889880147477096,1.4272207509879058,0.5282427818371955,none,object_1428,9,450,projection_xy
2295091.4760242226,1,19.99999999999995,-19.999999999999996,28.42773296303508,6.843472689232144,2.40717242573749,center,object_1428,9,450,projection_xy
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1428,9,450,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1428,9,450,projection_xy
144810.482305137,1,0.4957200971909201,0.02418485196772661,1.6459168624863858,1.4757734708141428,3.1303185037907446,none,object_1428,9,450,projection_yz
2295091.4760242226,1,0.5725820052466108,-0.19291610301715376,0.6517484351402157,0.27974454227057244,2.089584819804574,none,object_1428,9,450,projection_yz
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1428,9,450,projection_yz
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1428,9,450,projection_yz
144810.482305137,1,-0.037774141760239986,0.21206798165677815,2.0373183211274637,1.1929424220834182,1.008993286865266,none,object_1428,9,450,projection_zx
2295091.4760242226,1,-19.999999999999996,19.999999999999996,30.91685398297213,26.09502251672102,1.5707963268070415,center,object_1428,9,450,projection_zx
9136923.736814521,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1428,9,450,projection_zx
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1428,9,450,projection_zx
144810.482305137,1,-0.43717985982063445,-0.18273747155124548,1.9728951676718296,1.3297294318699688,1.1842744568094243,none,object_1218,10,500,projection_xy
2295091.4760242226,2,-0.4931807675432137,0.451767564147434,0.9294603148264075,0.7449378875687879,0.8663219978710682,none,object_1218,10,500,projection_xy
9136923.736814521,1,-0.30946012892477154,0.7195867160854065,0.47338695253670715,0.33932805080713163,2.2901886484990994,none,object_1218,10,500,projection_xy
22950914.760242227,0,-1.0,-1.0,-1.0,-1.0,-1.0,no_contour,object_1218,10,500,projection_xy
144810.482305137,1,0.277843188747988,0.23103375783146438,2.1564589277872415,1.1552931131897868,0.5627271635044497,none,object_1218,10,500,projection_yz
2295091.4760242226,2,-0.4739746097583919,-0.1979465100235127,0.9854456568571521,0.5119817505410201,0.3237401802270813,none,object_1218,10,500,projection_yz
9136923.736814521,1,-0.6262378449142999,-0.2555602559860465,0.5994091701796642,0.2967466004703106,0.2731440444675437,none,object_1218,10,500,projection_yz
22950914.760242227,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1218,10,500,projection_yz
144810.482305137,1,-0.22827819280447523,0.4242270074862716,1.6116782982239193,1.3854208118483267,2.4843444743323,none,object_1218,10,500,projection_zx
2295091.4760242226,1,0.04038138082965551,0.5149508164852024,0.8609571586734662,0.764582066015419,2.358866892471397,none,object_1218,10,500,projection_zx
9136923.736814521,1,0.2687065642811974,0.3451017156292948,0.5195606392613746,0.3340053217372695,1.5357617659771508,none,object_1218,10,500,projection_zx
22950914.760242227,1,-1.0,-1.0,-1.0,-1.0,-1.0,contour_small,object_1218,10,500,projection_zx
144810.482305137,2,-1.0843933005636441,-0.4046121614762194,6.462135221371013,3.4945211969590315,0.6581425766722422,none,object_633,15,750,projection_xy
