galaxyID,Mstar_r80star,sfr
106,12471520308.760784,0.7288296148180962
107,15220640612.47339,2.17168072424829
108,11437065206.838207,0.8967929892241955
109,11759216401.22527,1.2463920935988426
110,16137806228.034143,1.6908558569848535
111,9122407638.007677,1.437574101611972
112,15002114327.118841,1.7399553302675486
113,16192650827.003675,2.2966383323073387
114,14443850430.694206,1.568291500210762
115,11825805084.802862,0.7276298683136702
116,15628347653.28026,0.4046103022992611
117,10029890250.520737,0.5979656390845776
118,12838998367.267056,3.8110795579850674
119,10663286723.840816,1.5557523239403963
120,17173103365.369492,0.7343849502503872
121,13998600187.915031,3.153497820720077
122,6011026504.888278,3.150053331628442
123,13165187650.152843,0.5594364069402218
124,7094043354.579481,0.2800549678504467
125,34113709951.231506,3.582550149410963
126,10766483319.333431,0.15384170785546306
127,9854665747.915865,1.1053331214934587
128,19552377743.815086,1.2974515929818151
129,5158252175.747846,0.5584368258714676
130,9166261688.456104,1.4594361428171396
131,22712540564.93429,12.25723080523312
132,8486634144.105699,0.19658521190285685
133,8202973570.888522,0.7312690857797861
134,8464087744.552854,0.6735365018248558
135,8375504827.7428465,0.8173431660979986
136,7420446712.613644,1.6158737335354092
137,15983787107.03241,0.5076958443969488
138,6582694568.152435,2.4071876183152203
139,10491247630.283466,0.0
140,9034272098.392315,1.5027913041412833
141,8647334453.713816,1.0511586628854277
142,11689470377.339972,1.683694165199995
143,5350435159.693831,0.33182661794126034
144,9239951614.030678,0.5519937239587307
145,6014684705.982463,0.5324453637003899
146,6188473405.369524,0.7639942672103643
147,4906751741.14169,0.7480115368962288
148,7238894641.901105,1.170478254556656
149,9736721440.18127,3.2195557616651063
150,13267425422.510107,0.8774280734360218
151,9326862705.947105,3.0667937062680717
152,10506215709.208141,1.0965735781937838
153,14501927904.640953,2.3332788236439232
154,2143890391.8656347,1.2931572869420052
155,7428176522.228575,0.029562868177890774
156,9906305943.51967,0.8654587343335152
157,17051800914.41393,4.755741102620959
158,9129915462.699915,0.5195142067968845
159,13300442420.485243,3.200825698673725
160,4641448297.218219,3.2483709137886763
161,7017032368.926668,0.2912367172539234
162,21906813873.52888,27.510804500430822
163,2393554204.759979,0.5398449897766113
164,7988093829.098589,1.0902531575411558
165,22486550156.05422,5.506128583103418
166,6638106303.1089325,0.684286180883646
167,7298788777.356469,0.8352907039225101
168,13386472702.516987,3.011257041245699
169,5745044344.438016,1.805054254829884
170,7482062548.502744,1.1187994927167892
171,9831250548.480736,0.06450138241052628
172,8420259242.890072,3.162396850064397
173,17211160095.275513,3.2854007538408037
174,7805707498.941516,0.7172244787216187
175,16242942698.027878,3.9670519772917032
176,4930946930.238207,0.7535134591162205
177,4660002400.699536,1.1111440621316433
178,9042058588.77371,1.1347465552389622
179,5202605165.873236,0.24969952926039696
180,7155826761.7726345,1.6976706851273775
181,10361639312.46778,2.7662545945495367
182,5099833660.568048,1.2694035507738592
183,10884182254.701878,0.99356322363019
184,4030993407.6494713,1.9717013984918597
185,7057158451.11218,2.110490391030908
186,7883724555.39876,1.486322250217199
187,7836835183.137901,0.3485398888587952
188,7343237575.233344,1.1781964153051376
190,12042514824.175028,1.0852011907845736
191,8961527891.213919,1.732767315581441
192,6666169481.883607,0.17689268290996552
193,4784421910.366598,1.4849901907145977
194,8755882040.47361,1.157657776027918
195,3841230627.967207,0.34261567518115044
196,3049189153.681118,0.4870981834828854
197,4477073545.668087,0.13530912064015865
198,4914734594.057386,0.7908906117081642
199,5696525609.914937,0.8390968944877386
200,10689387910.207495,0.7903410717844963
201,8215518824.08943,0.5302520729601383
202,6405305215.008606,1.0431534536182878
203,5780289116.864663,0.17126992158591747
204,4495527107.621659,0.4348607137799263
205,6177851053.087256,2.4475817494094367
206,4399732550.325938,0.2532580308616161
207,3619808482.444571,0.6111517287790775
208,2747604181.3447647,0.18220296688377854
209,1803801590.405857,0.9365745075047016
210,4918813240.068625,0.2163752317428589
211,5648640942.562757,0.7044851705431938
212,6142410236.640775,1.692394282668829
213,7734418621.442145,0.09937353432178496
214,6314086238.380815,3.9945462625473738
215,5550360086.681379,0.08813876286149025
216,1998449189.2760887,1.2599679455161097
217,5324220274.389011,1.6311649717390535
218,5273808519.466624,1.7559017725288868
219,6042436757.562059,0.8404392190277576
220,4612654309.248304,0.5211154539138079
221,5846450345.283302,1.3110878206789494
222,5674095382.890186,0.07643689960241318
223,13901876152.255331,0.3194676414132118
224,5475506516.253649,0.2936480361968279
225,6856602627.923657,0.8820760976523161
226,2695202836.03608,0.9518166407942772
227,6210301016.527596,0.16074588522315025
228,5398965785.967546,0.418013371527195
229,3638591285.803439,0.5265451613813639
230,5641476082.102839,0.18221114203333852
231,7602524381.730806,2.615467973053456
232,4897047390.250157,0.4907006192952394
233,8455918899.843099,1.0301307737827299
234,5588601393.445215,0.2218640707433224
235,7045452416.391109,0.09652519971132277
236,6047603499.468061,1.095188070088625
237,10650708100.720095,1.5300546064972878
238,4024974509.9364634,0.2526282910257578
239,8371357929.10517,0.6089071687310934
240,2911717793.772157,1.0924670621752741
241,3176665219.552579,1.4696376584470272
242,7723961007.4094095,0.5895674675703049
243,4375336563.263731,1.478535896167159
244,5449865520.447505,0.694888886064291
245,2967454380.935883,1.1578749120235443
