2024-11-11 11:03:59,262:INFO: Failed to extract font properties from /usr/share/fonts/google-noto-emoji/NotoColorEmoji.ttf: In FT2Font: Could not set the fontsize (invalid pixel size; error code 0x17)
2024-11-11 11:03:59,399:INFO: generated new fontManager
2024-11-11 12:35:11,166:INFO: Chi^2/DoF: 11244257132763.035, L: 1e-09
2024-11-11 12:35:15,746:INFO: Chi^2/DoF: 11244201090418.92, L: 1e-09
2024-11-11 12:35:20,349:INFO: Final Chi^2/DoF: 11244176736715.031, L: 1e-09. Converged: success
2024-11-11 12:39:37,810:INFO: Chi^2/DoF: 16443925709049.246, L: 1.0
2024-11-11 12:39:42,027:INFO: Chi^2/DoF: 13703885166630.164, L: 0.1111111111111111
2024-11-11 12:39:46,269:INFO: Chi^2/DoF: 13070699962187.352, L: 0.13580246913580246
2024-11-11 12:39:51,149:INFO: Chi^2/DoF: 12710639842966.734, L: 0.0016765736930345982
2024-11-11 12:39:55,218:INFO: Chi^2/DoF: 12594444622848.797, L: 0.0020491456248200642
2024-11-11 12:39:59,341:INFO: Chi^2/DoF: 12588486306510.46, L: 0.00022768284720222937
2024-11-11 12:40:03,714:INFO: Chi^2/DoF: 12066998018270.201, L: 2.529809413358104e-05
2024-11-11 12:40:09,507:INFO: Chi^2/DoF: 11909884476298.982, L: 3.8558290098431705e-09
2024-11-11 12:40:13,260:INFO: Chi^2/DoF: 11820975371446.059, L: 1e-09
2024-11-11 12:40:16,968:INFO: Chi^2/DoF: 11740541540432.506, L: 1e-09
2024-11-11 12:40:20,758:INFO: Chi^2/DoF: 11663349601735.387, L: 1e-09
2024-11-11 12:40:24,505:INFO: Chi^2/DoF: 11588894856900.496, L: 1e-09
2024-11-11 12:40:28,301:INFO: Chi^2/DoF: 11516435155498.797, L: 1e-09
2024-11-11 12:40:32,188:INFO: Chi^2/DoF: 11445590419585.422, L: 1e-09
2024-11-11 12:40:36,714:INFO: Chi^2/DoF: 11380830721528.201, L: 1e-09
2024-11-11 12:40:41,056:INFO: Chi^2/DoF: 11328691720451.725, L: 1e-09
2024-11-11 12:40:45,037:INFO: Chi^2/DoF: 11292111558677.566, L: 1e-09
2024-11-11 12:40:48,803:INFO: Chi^2/DoF: 11269407168452.162, L: 1e-09
2024-11-11 12:40:52,616:INFO: Chi^2/DoF: 11256667602396.744, L: 1e-09
2024-11-11 12:40:56,475:INFO: Chi^2/DoF: 11250068159539.012, L: 1e-09
2024-11-11 12:41:00,126:INFO: Chi^2/DoF: 11246852709990.342, L: 1e-09
2024-11-11 12:41:03,791:INFO: Chi^2/DoF: 11245356262279.756, L: 1e-09
2024-11-11 12:41:07,396:INFO: Chi^2/DoF: 11244682332511.527, L: 1e-09
2024-11-11 12:41:11,217:INFO: Chi^2/DoF: 11244385288563.184, L: 1e-09
2024-11-11 12:41:14,857:INFO: Chi^2/DoF: 11244255938894.467, L: 1e-09
2024-11-11 12:41:18,424:INFO: Chi^2/DoF: 11244199889002.582, L: 1e-09
2024-11-11 12:41:22,148:INFO: Final Chi^2/DoF: 11244175626052.666, L: 1e-09. Converged: success
2024-11-11 13:05:14,021:INFO: Chi^2/DoF: 16418126369268.797, L: 1.0
2024-11-11 13:05:17,843:INFO: Chi^2/DoF: 13707449023829.232, L: 0.1111111111111111
2024-11-11 13:05:22,251:INFO: Chi^2/DoF: 13066301132711.889, L: 0.13580246913580246
2024-11-11 13:05:27,292:INFO: Chi^2/DoF: 12709445681286.611, L: 0.0016765736930345982
2024-11-11 13:05:31,683:INFO: Chi^2/DoF: 12671911976916.447, L: 0.00018628596589273313
2024-11-11 13:05:36,313:INFO: Chi^2/DoF: 12188963246032.129, L: 2.0698440654748124e-05
2024-11-11 13:05:42,602:INFO: Chi^2/DoF: 11946232101640.256, L: 3.1547691898716846e-09
2024-11-11 13:05:46,421:INFO: Chi^2/DoF: 11860941646255.906, L: 1e-09
2024-11-11 13:05:50,587:INFO: Chi^2/DoF: 11785242658827.773, L: 1e-09
2024-11-11 13:05:54,668:INFO: Chi^2/DoF: 11712651722609.666, L: 1e-09
2024-11-11 13:05:58,797:INFO: Chi^2/DoF: 11642761907183.041, L: 1e-09
2024-11-11 13:06:03,067:INFO: Chi^2/DoF: 11574515943462.852, L: 1e-09
2024-11-11 13:06:07,225:INFO: Chi^2/DoF: 11505823108429.47, L: 1e-09
2024-11-11 13:06:11,674:INFO: Chi^2/DoF: 11437477454840.969, L: 1e-09
2024-11-11 13:06:16,560:INFO: Chi^2/DoF: 11375131374293.826, L: 1e-09
2024-11-11 13:06:21,110:INFO: Chi^2/DoF: 11325201143841.105, L: 1e-09
2024-11-11 13:06:25,116:INFO: Chi^2/DoF: 11290244362135.559, L: 1e-09
2024-11-11 13:06:29,264:INFO: Chi^2/DoF: 11268521209831.854, L: 1e-09
2024-11-11 13:06:33,364:INFO: Chi^2/DoF: 11256291221544.707, L: 1e-09
2024-11-11 13:06:37,596:INFO: Chi^2/DoF: 11249924508075.252, L: 1e-09
2024-11-11 13:06:41,705:INFO: Chi^2/DoF: 11246804080468.139, L: 1e-09
2024-11-11 13:06:45,742:INFO: Chi^2/DoF: 11245342402134.9, L: 1e-09
2024-11-11 13:06:49,839:INFO: Chi^2/DoF: 11244679764483.455, L: 1e-09
2024-11-11 13:06:53,718:INFO: Chi^2/DoF: 11244385848219.69, L: 1e-09
2024-11-11 13:06:57,548:INFO: Chi^2/DoF: 11244257132763.035, L: 1e-09
2024-11-11 13:07:01,586:INFO: Chi^2/DoF: 11244201090418.92, L: 1e-09
2024-11-11 13:07:05,632:INFO: Final Chi^2/DoF: 11244176736715.031, L: 1e-09. Converged: success
2024-11-11 13:15:08,610:INFO: Chi^2/DoF: 42096403.74325779, L: 1.0
