galaxyID,host,ParticleSelection,A,B,C,Rmax,R50,RotationMatrix
241,host,YS,1.43547579460971,1.3160481729543991,0.3826623870048199,5.173635032949806,3.3523871526796944,"[[-0.66084816,-0.63343078,-0.40254832], [-0.72277221, 0.39263457, 0.56871647], [ 0.20218813,-0.66678598, 0.717298  ]]"
244,host,YS,0.8912905278510432,0.7229627910898382,0.1821525849016645,7.999967948183813,3.2197039618230208,"[[-0.60560654, 0.33468532,-0.72196014], [-0.11104959,-0.933921  ,-0.3397934 ], [-0.7879776 ,-0.12560773, 0.60275534]]"
245,host,YS,1.9337880125103328,1.69773718629319,0.3458063723253313,4.565824884857461,4.808647197153107,"[[-0.49771723,-0.17137501, 0.85024006], [-0.81175966,-0.25323006,-0.52623264], [-0.30548947, 0.95210564, 0.01307835]]"
246,host,YS,0.9411237238067968,0.445730848999891,0.2139158680946843,7.345829222971513,2.7201795755752145,"[[ 0.72020056, 0.5126617 ,-0.46742821], [ 0.30790674,-0.83996151,-0.44683117], [ 0.62169494,-0.17788376, 0.76279275]]"
247,host,YS,1.677202328788601,0.7904637683848432,0.3709125140548775,5.714183211579935,4.431545391600975,"[[-0.98507346, 0.09401345,-0.14419342], [-0.05188529,-0.96088775,-0.27203428], [ 0.16412857, 0.26049224,-0.95142294]]"
249,host,YS,0.8612392601114116,0.7098932490305455,0.2217131103973347,7.0202458149394245,2.5402345517943954,"[[-0.53965335, 0.83977244, 0.05963654], [-0.46435994,-0.23782202,-0.85311813], [-0.70224221,-0.48808087, 0.51829812]]"
250,host,YS,0.6640832054584164,0.3779691818749616,0.227906617427659,5.797894903987565,1.9504181448776128,"[[ 0.56242176,-0.06083791,-0.82460931], [-0.16624032, 0.96860539,-0.18484523], [-0.80996661,-0.24104429,-0.53465104]]"
251,host,YS,1.813285540438479,1.0781227033824503,0.3835823735647371,5.263449648055934,4.810790544830852,"[[ 0.9420458 , 0.31896959,-0.10396205], [ 0.25790888,-0.49038049, 0.83247221], [ 0.21455236,-0.81103969,-0.54422597]]"
252,host,YS,1.445730840393767,1.2940378292938466,0.4984019631211782,4.827095475014789,4.009391876601923,"[[ 0.28663887, 0.09438457,-0.95337805], [-0.79373637,-0.53386658,-0.2914945 ], [-0.53648926, 0.84028449,-0.07811045]]"
255,host,YS,0.6686829149469073,0.5911957841663036,0.1242348204737951,7.699657715532025,2.165129182433569,"[[ 0.49633719,-0.13908641, 0.85691561], [-0.43633262, 0.81337676, 0.38474939], [-0.75050866,-0.56486566, 0.3430212 ]]"
