galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
413,22,1100,projection_yz,mockmass,0.8426359019310765,0.3003227783557425,1.1679630565290229,3.20877071734815,5.080990100604196,5916250000.0
413,22,1100,projection_zx,mockmass,0.778080604780119,1.8963029760799224,1.1800802598879416,3.168061444530272,5.109508978178938,5916250000.0
414,19,950,projection_xy,mockmass,0.8166551349982192,2.054349198027874,0.6452701759618072,3.491906799234671,4.826200789006756,3041810000.0
414,19,950,projection_yz,mockmass,0.530921541406641,2.019196204382974,0.6967257798343762,3.236451131994321,5.0565157281209245,3041810000.0
414,19,950,projection_zx,mockmass,0.6037126159307854,2.969882474621052,0.6470032042497587,3.368408247410692,4.975120468945528,3041810000.0
433,22,1100,projection_xy,mockmass,0.6593331650244041,0.040707563038707,0.743764426948418,4.790254848561561,4.283075096290453,1342810000.0
433,22,1100,projection_yz,mockmass,0.5383528470946686,1.5887746316487878,0.7115922753106563,4.7254067114999065,4.389294914107957,1342810000.0
433,22,1100,projection_zx,mockmass,0.5106609077225219,2.559177812344749,0.7943210915532011,3.605559973040646,4.622972217041482,1342810000.0
436,24,1200,projection_xy,mockmass,0.5906083733634353,0.7953816833064113,0.717898164233377,5.002892923926826,4.496714563091838,2133190000.0
436,24,1200,projection_yz,mockmass,0.7291107127949423,1.813017846294385,0.7635952774397057,4.137149046732078,4.559341527475582,2133190000.0
436,24,1200,projection_zx,mockmass,0.6444883623663628,0.3817142444684016,0.700116832041214,4.288758503761383,4.589312468496084,2133190000.0
443,26,1300,projection_xy,mockmass,0.48319485574413,0.8265134598224849,0.7319980899537268,4.879629564817659,4.624724115849334,2270950000.0
443,26,1300,projection_yz,mockmass,0.7339111484286065,0.3712740702998283,0.7189505666510989,4.861623813521654,4.45605007238734,2270950000.0
443,26,1300,projection_zx,mockmass,0.8403905297799843,1.516614372868462,0.7524668696504304,4.738917719534272,4.414829354552811,2270950000.0
445,17,850,projection_xy,mockmass,0.564533040592317,1.9425836891921755,0.7950359247160071,3.0194990582328103,5.16944683172106,3804140000.0
445,17,850,projection_yz,mockmass,0.6554660369224512,0.2374307233772873,0.8011058252282819,2.8904402439127987,5.145986010581956,3804140000.0
445,17,850,projection_zx,mockmass,0.862015158429493,0.7301717970934289,0.7655386085819342,3.062478988797628,4.990959287678951,3804140000.0
453,21,1050,projection_xy,mockmass,0.6974229761054961,0.8789134799066609,0.6221075593026605,4.051460878749476,4.057899299741738,573583000.0
453,21,1050,projection_yz,mockmass,0.7717072851505685,1.8534791356057692,0.8647674089252899,3.591406807222601,4.076491176247838,573583000.0
453,21,1050,projection_zx,mockmass,0.7026149245243032,2.9863799475987287,0.6075645730815061,3.6651358262106473,4.145421359088072,573583000.0
457,30,1500,projection_xy,mockmass,0.6581391964141151,0.6128951064178382,0.8087582624032268,4.735410105236142,4.556841879102905,2888560000.0
457,30,1500,projection_yz,mockmass,0.7355166000361376,1.4174575054298206,0.8080869858370918,4.317652002546741,4.596236790669983,2888560000.0
457,30,1500,projection_zx,mockmass,0.6798930019622842,0.5816237053191118,0.9753431106110148,4.129061594700197,4.625639418039938,2888560000.0
462,26,1300,projection_xy,mockmass,0.8249623312645117,2.885389814831523,0.8510605467379813,4.178393207183232,4.239850959933321,1268390000.0
