galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat
1121,40,2000,projection_yz,band_r,0.8282607990214144,3.6531489797514843e-09,2.952290206583553,1.1634823467407381e-08,0.7130907734321198,5.0262647125576165e-09,6.418512499813478,2.4650955940005943e-08,5.99266752203189,2.526714205945172e-09,725764000.0
1121,40,2000,projection_yz,band_u,0.8201331741235126,3.3579246080048242e-09,3.0539453163156063,1.0256913779435983e-08,0.7368506244014124,4.762357394730109e-09,6.168698484190168,2.2326540495253005e-08,6.041380694851104,2.3854772631621267e-09,725764000.0
1121,40,2000,projection_zx,band_r,0.5811643306255274,2.3573302283160776e-09,1.1973056152941826,3.559588013609586e-09,0.7812883434938953,4.896925693179302e-09,6.913554821722569,2.5492180330069293e-08,6.064928551194693,2.4374680123986198e-09,725764000.0
1121,40,2000,projection_zx,band_u,0.5704614248454919,2.204195940834078e-09,1.1933759939778796,3.267538224653441e-09,0.8612709247320149,4.971668404107664e-09,6.82821788020699,2.5200206799484912e-08,6.08442244594337,2.449710867294942e-09,725764000.0
1155,36,1800,projection_xy,band_r,0.5824615966020673,2.1002670807357052e-09,2.213294581084132,3.1786928053841053e-09,1.852377977085773,8.241547675494053e-09,3.343676621686959,1.9096680357053388e-08,6.263877508691771,3.809431870001983e-09,328402000.0
1155,36,1800,projection_xy,band_u,0.7124152810276929,4.973563912780673e-10,2.102430379216797,1.0100192569121466e-09,1.4581841036328709,1.3269173444686432e-09,1.057846850016006,9.806157867612046e-10,7.497332285124881,6.212532403519537e-10,328402000.0
1155,36,1800,projection_yz,band_r,0.5838651330307537,2.5141980807758073e-09,2.6849268540809144,3.8142892984274625e-09,2.23596012105067,1.1506786897222648e-08,5.060284673627375,4.0100658733786243e-08,5.944546549062298,5.2635012333679405e-09,328402000.0
1155,36,1800,projection_yz,band_u,0.6489209889937838,4.326937556836514e-10,2.4230749735932458,7.474535681740866e-10,1.5543733445870105,1.333468516765027e-09,1.156349362543886,1.0722766945471347e-09,7.483522575534802,6.211419894857268e-10,328402000.0
1155,36,1800,projection_zx,band_r,0.755222375209694,3.3166227871364003e-09,1.1303671299122542,7.719297034349767e-09,2.522908518757567,1.3043728139824111e-08,5.6986395943919135,5.100595797409082e-08,5.782696189872003,5.929125028885542e-09,328402000.0
1155,36,1800,projection_zx,band_u,0.8780245911762153,6.408305198186668e-10,0.7270268035893201,2.798865449543465e-09,1.74693811762595,1.616253233264278e-09,0.9996178992499188,1.1101612130317735e-09,7.411019966749355,7.444744300614486e-10,328402000.0
1158,19,950,projection_xy,band_r,0.7546420746835548,9.30829491292008e-09,2.973974492653196,2.162127626528335e-08,0.5602132440492615,1.2189978959710177e-08,2.9402784801651847,2.863497827939708e-08,5.921621326076226,6.298623856966318e-09,84098000.0
1158,19,950,projection_xy,band_u,0.7786983780832437,7.507999249046806e-09,2.8782261344346645,1.907379701400165e-08,0.5739658250738014,9.659787943207796e-09,2.8582238498360857,2.1951065795204407e-08,6.032871208376653,4.977063692383714e-09,84098000.0
1158,19,950,projection_yz,band_r,0.6762783988854486,8.061864312974256e-09,1.4178918437647108,1.4856524085135365e-08,0.619796204310334,1.2484197104022556e-08,2.962891110250549,2.8973836168278546e-08,5.951274694305137,6.3751771423443245e-09,84098000.0
