Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
ESO321-014,12,13,49.6,-,38,13,53,1.41,0.43,0.4,,17.19,15.21,,19.29,12.7,,,15.31,19.0,10.0,Ir,N,609.0,3.18,TRGB
UGC07242,12,14,7.4,+,66,5,32,1.23,0.42,0.08,,16.2,14.6,,19.42,12.18,*,,15.29,66.0,10.0,Ir,N,66.0,5.42,TRGB
VCC0114,12,14,35.2,+,5,40,38,0.6,0.52,0.07,,18.61,16.16,,,13.75,*,,16.57,34.0,10.0,Ir,N,2067.0,8.2,TF
KDG090,12,14,57.9,+,36,13,8,1.55,0.87,0.09,>,23.0,15.86,,23.97,13.43,*,>,19.2,,10.0,Tr,L,,2.86,TRGB
UGC7257,12,15,3.0,+,35,57,31,1.35,0.62,0.07,,15.17,14.36,,,12.25,,,14.76,89.0,8.0,,,956.0,8.8,TF
NGC4204,12,15,14.4,+,20,39,31,4.47,0.81,0.15,,14.62,12.9,,16.06,10.0,,,13.93,88.0,7.0,,,861.0,8.0,txt
UGC07267,12,15,23.6,+,51,21,0,2.09,0.32,0.11,,16.5,14.79,,18.79,11.94,*,,14.93,117.0,8.0,,,473.0,12.9,TF
UGC07271,12,15,33.4,+,43,26,3,2.4,0.34,0.06,,16.59,14.9,,18.86,13.16,,,15.46,105.0,7.0,,,546.0,18.6,TF
NGC4214,12,15,38.9,+,36,19,39,8.51,0.78,0.09,,11.68,10.24,,13.28,8.14,,,11.98,61.0,8.0,,,291.0,2.94,TRGB
MCG +09-20-131,12,15,46.7,+,52,23,15,1.05,0.3,0.1,,16.78,15.3,,21.78,12.86,*,,15.72,27.0,10.0,Ir,N,159.0,4.59,TRGB
VCC0169,12,15,56.2,+,9,38,57,0.85,0.68,0.08,,21.2,16.67,,,14.25,*,,15.6,24.0,10.0,Ir,L,2219.0,9.4,TF
IC3077,12,15,56.3,+,14,25,59,1.78,0.64,0.14,,20.3,15.01,,,12.69,,,18.21,51.0,9.0,BCD,N,1406.0,9.1,TF
UGC07298,12,16,28.6,+,52,13,38,0.85,0.55,0.1,,17.45,15.95,,22.6,13.29,,,15.76,21.0,10.0,Ir,N,174.0,4.21,TRGB
NGC4236,12,16,43.3,+,69,27,56,21.88,0.32,0.06,,11.91,10.05,,13.76,7.5,,,11.19,154.0,8.0,,,-3.0,4.45,TRGB
LV J1217+4703,12,17,10.1,+,47,3,49,0.3,0.76,0.07,,23.76,18.5,,,16.09,*,>,19.2,,10.0,Tr,L,,7.8,mem
UGC07320,12,17,28.5,+,44,48,41,1.2,0.44,0.05,,18.39,15.4,,,13.0,*,,16.8,55.0,10.0,Ir,N,541.0,9.2,TF
NGC4244,12,17,29.9,+,37,48,27,19.5,0.11,0.09,,12.85,10.88,,14.63,7.72,,,11.02,170.0,6.0,,,247.0,4.49,TRGB
NGC4242,12,17,30.2,+,45,37,10,5.5,0.76,0.05,,13.99,11.59,,15.99,9.12,,,13.58,108.0,7.0,,,517.0,7.9,TF
LV J1217+3231,12,17,32.0,+,32,31,57,0.66,0.62,0.05,,20.15,18.2,,,15.8,*,,,,9.0,Im,N,447.0,5.93,h
UGC7321,12,17,34.0,+,22,32,25,6.76,0.06,0.12,,16.32,14.09,,,10.67,,,13.68,219.0,7.0,,,403.0,17.2,TF
KKH78,12,17,44.5,+,33,20,43,0.45,0.63,0.06,,22.81,17.7,,,15.3,*,,,,10.0,Ir,L,,4.7,mem
NGC4248,12,17,49.9,+,47,24,33,3.31,0.43,0.08,,16.99,13.14,,18.01,10.59,,,15.7,66.0,8.0,,,484.0,7.4,TF
LV J1218+4655,12,18,11.1,+,46,55,1,0.91,0.28,0.08,,18.4,16.83,,,14.16,*,,,,8.0,,,420.0,6.54,h
AGC229053,12,18,15.5,+,25,34,6,0.49,0.48,0.12,,19.85,17.9,,,15.44,*,,17.68,40.0,10.0,Ir,N,425.0,17.9,TF
KDG098,12,18,29.4,+,28,38,45,0.76,0.93,0.1,,22.18,16.5,,,12.31,*,,,,-1.0,Tr,N,,9.0,txt
IC3104,12,18,46.1,-,79,43,34,3.72,0.47,1.7,,,13.65,,17.43,9.26,,,15.35,40.0,9.0,Im,N,429.0,2.27,TRGB
NGC4258,12,18,57.5,+,47,18,14,18.62,0.39,0.07,,11.96,9.1,,12.58,5.46,,,11.2,421.0,4.0,,,447.0,7.83,Cep
KK132,12,19,6.5,+,47,43,51,0.36,0.84,0.07,,24.46,18.5,,,14.34,*,,,,-1.0,Sph,L,,7.8,mem
KDG101,12,19,9.1,+,47,5,23,1.29,0.59,0.08,,22.65,15.75,,22.96,13.33,*,,,,10.0,Ir,N,132.0,7.24,TRGB
KK133,12,19,32.8,+,43,23,11,0.47,0.68,0.06,,19.41,17.7,,,15.3,*,,18.2,51.0,10.0,Ir,L,561.0,8.23,h
KK134,12,19,33.8,+,47,27,6,0.37,0.94,0.07,,22.29,17.0,,,12.84,*,,,,-3.0,Sph,N,,7.8,mem
d1219+4705,12,19,36.8,+,47,5,33,0.29,0.95,0.11,>,23.0,18.6,,,14.4,*,,,,-3.0,Sph,L,,7.8,mem
IC 779,12,19,38.7,+,29,53,0,1.32,0.86,0.08,,21.46,15.22,,,11.79,,,,,-1.0,dE,N,213.0,16.67,SBF
VCC0381,12,19,54.1,+,6,39,57,0.78,0.92,0.01,,18.67,16.67,,,14.31,*,,16.34,23.0,10.0,Ir,L,480.0,4.71,h
[KKH2011]S11,12,20,30.1,+,47,29,25,0.28,0.9,0.08,,22.46,20.5,,,16.33,*,,,,-3.0,Sph,L,,7.8,mem
NGC4288,12,20,38.1,+,46,17,30,2.34,0.71,0.06,,14.69,13.3,,16.58,11.3,,,13.84,154.0,7.0,,,533.0,8.05,h
KK136,12,20,40.6,+,47,0,3,0.47,0.87,0.08,,,17.5,,,13.33,*,,,,-3.0,Sph,N,,7.8,mem
CVnHI,12,20,43.4,+,46,12,33,,,0.06,,24.36,,,,,*,,18.8,20.0,11.0,Ir,X,420.0,6.5,h
KUG 1218+387,12,20,54.9,+,38,25,49,1.17,0.71,0.08,,16.92,15.4,,,12.98,*,,16.04,30.0,9.0,BCD,N,570.0,8.03,h
d1220+4649,12,20,55.0,+,46,49,45,0.25,0.83,0.08,,23.59,19.4,,,15.23,*,,,,-3.0,Sph,L,,7.8,mem
DDO120,12,21,15.0,+,45,48,41,2.4,0.62,0.05,,16.2,13.55,,23.49,10.77,,,15.05,37.0,9.0,Im,N,463.0,7.06,h
KDG104,12,21,27.9,+,15,1,28,0.81,0.67,0.14,,20.53,16.88,,,14.4,*,,18.04,24.0,10.0,Ir,L,1861.0,9.4,TF
KDG105,12,21,43.0,+,37,59,14,0.83,0.59,0.08,,19.75,16.7,,,14.28,*,,16.87,40.0,10.0,Ir,L,567.0,7.6,TF
UGC7427,12,21,55.0,+,35,3,5,1.07,0.61,0.06,,,15.9,,,13.5,*,,16.37,32.0,10.0,Ir,N,726.0,9.7,TF
NGC4308,12,21,56.9,+,30,4,27,0.85,0.95,0.09,,20.55,14.11,,,10.62,,,,,-1.0,,,642.0,14.0,txt
KK138,12,21,58.4,+,28,14,34,0.42,0.58,0.09,>,23.0,18.7,,,16.27,*,>,19.2,,10.0,Tr,L,,6.3,mem
GR34,12,22,7.6,+,15,47,57,0.93,0.82,0.11,,19.04,15.95,,,13.5,*,,18.24,25.0,10.0,Ir,L,1298.0,8.9,TF
VCC0565,12,22,38.5,+,6,0,52,0.58,0.6,0.1,,19.19,15.86,,,13.42,*,,18.1,28.0,10.0,Ir,N,871.0,9.6,TF
KK141,12,22,52.7,+,33,49,43,0.4,0.77,0.05,,18.18,16.6,,,14.2,*,,17.29,26.0,10.0,Ir,N,573.0,7.78,h
IC3247,12,23,14.0,+,28,53,38,2.34,0.17,0.1,,18.19,15.25,,,12.12,,,16.47,157.0,7.0,,,569.0,24.4,TF
BTS132,12,23,46.2,+,47,39,32,0.39,0.68,0.08,,23.61,18.4,,,14.23,*,,,,-3.0,Sph,L,,7.8,mem
IC3308,12,25,17.9,+,26,42,53,1.55,0.26,0.1,,,15.41,,19.11,12.51,*,,14.94,125.0,8.0,,,316.0,12.8,TF
KK144,12,25,27.9,+,28,28,57,1.12,0.44,0.09,,17.25,16.5,,20.94,14.07,*,,15.12,38.0,10.0,Ir,L,480.0,6.15,h
UGC07512,12,25,41.3,+,2,9,32,1.45,0.52,0.08,,17.4,15.2,,,12.78,*,,15.31,65.0,10.0,Ir,N,1506.0,10.6,TF
AGC749236,12,25,42.4,+,26,48,36,0.62,0.51,0.1,,,17.3,,,14.86,*,,16.53,53.0,10.0,Ir,L,273.0,19.5,TF
VCC0841,12,25,47.0,+,14,57,7,1.1,0.49,0.12,,18.95,15.5,,,13.04,*,,17.79,39.0,9.0,Im,N,499.0,7.9,TF
NGC4395,12,25,49.8,+,33,32,46,13.18,0.83,0.07,,11.76,10.64,,14.15,8.0,,,11.53,98.0,8.0,,,313.0,4.61,TRGB
DDO123,12,26,8.1,+,58,19,21,2.78,0.79,0.05,,,14.5,,,11.85,*,,13.74,58.0,8.0,,,722.0,10.5,TF
UGCA281,12,26,16.0,+,48,29,31,1.05,0.75,0.06,,15.29,15.14,,15.85,12.51,,,15.19,47.0,10.0,Ir,N,279.0,5.68,TRGB
IC3341,12,26,23.4,+,27,44,44,0.68,0.56,0.08,,,16.4,,,13.98,*,,16.75,65.0,9.0,Im,N,372.0,14.0,TF
SBS 1224+533,12,26,52.6,+,53,6,19,0.8,0.69,0.08,,17.36,16.1,,,13.68,*,,,,9.0,BCD,N,300.0,5.35,h
ComaI,12,26,59.0,+,23,54,15,9.5,0.64,0.08,>,23.0,14.98,,,10.81,*,>,19.88,,-3.0,Sph,X,98.0,0.04,HB
DDO126,12,27,5.1,+,37,8,33,2.88,0.63,0.06,,15.18,14.12,,17.48,11.53,,,14.23,50.0,10.0,Ir,N,217.0,4.88,TRGB
DDO125,12,27,41.8,+,43,29,38,3.89,0.56,0.09,,14.99,12.95,,18.03,10.23,,,14.31,27.0,9.0,Im,N,206.0,2.74,TRGB
UGC07584,12,28,2.9,+,22,35,22,0.91,0.5,0.1,,17.2,16.19,,19.83,13.75,*,,16.2,35.0,9.0,BCD,N,603.0,9.2,TF
KKH80,12,28,5.4,+,22,17,27,0.85,0.69,0.09,,18.27,16.8,,23.42,14.37,*,,17.48,16.0,10.0,Ir,L,602.0,7.43,h
NGC4449,12,28,11.2,+,44,5,40,6.76,0.71,0.08,,10.99,9.99,,12.55,7.25,,,12.35,98.0,8.0,,,201.0,4.21,TRGB
DDO127,12,28,28.5,+,37,14,0,1.62,0.5,0.07,,16.19,14.98,,20.47,12.57,*,,15.03,54.0,10.0,Ir,N,275.0,6.89,BS
UGC07596,12,28,33.9,+,8,38,23,1.58,0.43,0.09,,18.46,14.9,,,12.47,*,,18.49,27.0,10.0,Ir,N,565.0,4.6,TF
UGC07605,12,28,39.0,+,35,43,5,1.48,0.73,0.06,,15.9,14.76,,18.61,12.4,,,15.77,26.0,10.0,Ir,N,310.0,4.43,TRGB
NGC4455,12,28,44.1,+,22,49,21,3.24,0.29,0.09,,14.6,12.93,,16.54,10.55,,,13.91,108.0,7.0,,,644.0,8.4,TF
DDO129,12,28,44.2,+,43,13,27,2.82,0.89,0.07,,14.88,13.67,,17.26,11.01,*,,14.11,43.0,8.0,,,538.0,8.9,TF
LV J1228+4358,12,28,44.9,+,43,58,18,3.98,0.27,0.09,>,23.0,14.2,,,11.77,*,,,,10.0,Tr,X,,4.07,TRGB
NGC4460,12,28,45.8,+,44,51,52,4.27,0.3,0.08,,15.68,12.26,,15.66,9.06,,,15.54,90.0,1.0,,,499.0,9.59,SBF
KK149,12,28,52.3,+,42,10,40,0.93,0.63,0.11,,17.47,15.01,,19.83,12.56,*,,16.15,54.0,10.0,Ir,N,407.0,8.9,TF
UGC07639,12,29,53.0,+,47,31,48,2.14,0.54,0.05,,16.25,14.13,,20.46,11.73,*,,16.05,39.0,9.0,Im,N,385.0,7.14,SBF
UGC07636,12,30,1.0,+,7,55,46,0.89,0.81,0.09,,19.07,14.9,,,12.47,*,,18.98,25.0,10.0,Ir,N,469.0,5.2,TF
KK151,12,30,23.8,+,42,54,5,1.12,0.42,0.08,,17.3,15.8,,20.36,13.38,*,,16.66,34.0,9.0,Im,N,436.0,6.56,h
NGC4485,12,30,31.2,+,41,42,0,2.34,0.7,0.09,,13.68,12.32,,15.44,10.58,,,13.22,139.0,8.0,,,480.0,5.8,mem
NGC4490,12,30,36.4,+,41,38,37,6.31,0.49,0.09,,12.19,9.76,,13.06,7.35,,,11.6,173.0,7.0,,,586.0,5.8,TF
CGCG 014-054,12,31,3.8,+,1,40,33,1.27,0.58,0.08,,17.81,15.6,,,13.18,*,,16.5,44.0,9.0,Im,N,1105.0,9.6,TF
MAPS1231+42,12,31,9.0,+,42,5,39,0.33,0.68,0.08,,19.39,17.8,,,15.38,*,,19.1,16.0,10.0,Ir,N,563.0,5.8,mem
DDO131,12,31,58.6,+,29,42,35,1.15,0.76,0.08,,16.5,15.28,,,12.86,*,,15.22,63.0,10.0,Ir,N,643.0,8.1,mem
UGC7678,12,32,0.4,+,39,49,55,1.78,0.52,0.07,,15.62,14.5,,17.86,12.48,,,15.62,39.0,9.0,Im,N,679.0,6.9,TF
UGC07690,12,32,26.9,+,42,42,15,2.09,0.79,0.13,,14.92,13.13,,17.13,11.4,,,14.48,71.0,8.0,,,536.0,11.2,TF
NGC4517,12,32,45.5,+,0,6,54,12.02,0.13,0.1,,15.86,11.09,,,7.33,,,12.39,307.0,7.0,,,1134.0,9.7,TF
UGC07699,12,32,48.0,+,37,37,18,3.98,0.27,0.05,,14.83,13.3,,17.04,11.15,,,14.07,171.0,7.0,,,495.0,14.5,TF
DDO133,12,32,53.0,+,31,32,21,3.55,0.69,0.07,,14.85,13.53,,16.93,11.12,*,,13.77,45.0,10.0,Ir,L,330.0,4.85,TRGB
NGC4509,12,33,6.8,+,32,5,30,0.91,0.76,0.05,,15.22,14.1,,,11.5,,,15.9,49.0,9.0,BCD,H,934.0,10.1,TF
BTS142,12,33,7.4,+,38,6,58,0.33,0.98,0.05,,20.22,18.44,,,16.04,*,,17.95,23.0,10.0,Ir,L,719.0,10.0,txt
KDG155,12,33,8.0,-,0,31,59,1.2,0.74,0.1,,20.48,16.4,,,13.96,*,,16.24,43.0,10.0,Ir,L,750.0,8.11,h
KK152,12,33,24.9,+,33,21,5,1.07,0.43,0.08,,17.51,16.3,,,13.88,*,,16.18,34.0,10.0,Ir,N,838.0,6.9,TF
UGC7719,12,34,0.6,+,39,1,10,2.14,0.29,0.07,,16.14,15.25,,18.09,12.59,*,,15.1,57.0,8.0,,,679.0,9.2,TF
NGC4534,12,34,5.5,+,35,31,6,3.02,0.66,0.05,,14.01,13.2,,16.24,11.21,,,13.28,110.0,8.0,,,802.0,9.8,TF
UGC7751,12,35,11.8,+,41,3,39,1.21,0.34,0.11,,17.73,16.5,,,14.05,*,,16.38,41.0,9.0,Im,N,605.0,7.9,TF
LV J1235-1104,12,35,39.4,-,11,4,2,0.43,0.9,0.17,,16.81,15.7,,,13.18,*,,17.24,55.0,10.0,Ir,H,1110.0,10.0,TF
NGC4559,12,35,57.7,+,27,57,35,10.96,0.41,0.08,,12.27,10.28,,13.5,7.58,,,11.77,237.0,6.0,,,814.0,8.1,TF
UGC07774,12,36,22.5,+,40,0,19,3.16,0.16,0.07,,16.46,14.6,,18.56,11.11,*,,14.19,183.0,7.0,,,528.0,22.6,TF
VCC1675,12,36,35.0,+,8,3,17,1.41,0.61,0.1,,17.8,14.8,,,12.1,,,18.27,33.0,9.0,BCD,N,1790.0,7.5,TF
IC3583,12,36,43.5,+,13,15,34,2.88,0.52,0.19,,15.43,13.31,,,11.2,,,15.66,105.0,9.0,Im,N,1120.0,7.6,TF
MAPS1236+33,12,36,49.4,+,33,36,48,0.56,0.43,0.07,,18.86,16.9,,,14.49,*,,17.49,30.0,10.0,Ir,N,526.0,11.7,TF
IC3591,12,37,3.0,+,6,55,36,1.29,0.6,0.1,,16.09,14.39,,16.79,11.6,,,15.18,86.0,9.0,BCD,N,1632.0,9.8,TF
KKSG29,12,37,14.1,-,10,29,51,1.41,0.43,0.12,,18.9,16.54,,,14.08,*,,17.74,30.0,10.0,Ir,L,756.0,7.7,TF
Arp211,12,37,21.3,+,38,44,43,0.85,0.57,0.08,,15.99,15.74,,19.38,13.32,*,,16.54,27.0,10.0,Ir,N,458.0,6.61,TRGB
VCC1713,12,37,29.1,+,4,45,5,0.58,0.59,0.1,,17.93,15.86,,,13.42,*,,17.41,26.0,9.0,Im,N,1638.0,7.2,TF
KKSG30,12,37,35.9,-,8,52,2,0.87,0.5,0.14,,19.01,16.3,,,13.82,*,,17.39,36.0,10.0,Ir,N,1105.0,9.1,TF
VCC1725,12,37,41.2,+,8,33,33,1.17,0.54,0.1,,15.95,14.89,,,11.74,,,16.48,76.0,9.0,BCD,N,1076.0,8.5,TF
KKSG31,12,38,33.7,-,10,29,25,0.79,0.88,0.13,>,23.0,17.7,,,13.48,*,>,18.2,,-3.0,Sph,L,,9.3,mem
UGCA292,12,38,40.0,+,32,46,0,1.02,0.7,0.07,,16.35,16.07,,18.26,14.24,,,15.03,27.0,10.0,Ir,L,308.0,3.61,TRGB
UGC07827,12,39,38.9,+,44,49,15,1.25,0.58,0.08,,16.94,15.96,,18.16,13.54,*,,15.26,44.0,10.0,Ir,N,553.0,8.5,TF
KKSG32,12,39,55.0,-,11,44,48,0.6,0.83,0.21,,23.93,18.5,,,14.21,*,>,18.2,,-3.0,Sph,L,,9.3,mem
KDG177,12,39,58.5,+,13,46,53,0.89,0.51,0.14,,18.47,16.36,,,13.88,*,,16.17,30.0,10.0,Ir,N,1005.0,8.2,TF
NGC4594,12,39,59.1,-,11,37,23,11.75,0.51,0.22,,14.98,8.98,,16.73,4.96,,,14.78,736.0,1.0,,,1090.0,9.3,SBF
NGC4605,12,40,0.3,+,61,36,29,6.17,0.37,0.06,,13.13,10.89,,14.31,7.76,,,13.44,132.0,8.0,,,151.0,5.47,TRGB
AGC749241,12,40,1.7,+,26,19,19,0.34,0.84,0.06,,19.66,18.3,,,15.9,*,,17.7,18.0,10.0,Ir,L,451.0,9.2,TF
BTS146,12,40,2.1,+,38,0,2,0.34,0.55,0.08,,20.35,17.5,,,15.08,*,,18.05,27.0,10.0,Ir,N,446.0,8.5,TF
SUCD1,12,40,3.1,-,11,40,4,0.1,0.96,0.02,>,23.0,18.4,,,14.7,,>,17.8,,-1.0,dE,H,1305.0,9.3,mem
KKSG33,12,40,8.9,-,12,21,53,0.5,0.99,0.2,>,23.0,18.5,>,22.37,14.22,*,>,18.2,,-3.0,Sph,L,,9.3,mem
VCC1822,12,40,10.4,+,6,50,49,0.83,0.53,0.09,,,16.4,,,13.97,*,,17.69,23.0,10.0,Ir,N,1008.0,8.1,TF
NGC4597,12,40,12.9,-,5,47,57,5.56,0.46,0.11,,14.44,12.58,,15.91,11.68,,,13.04,163.0,8.0,,,1039.0,10.1,TF
NGC4600,12,40,23.0,+,3,7,4,1.62,0.67,0.12,,20.38,13.7,,18.51,9.81,,>,17.5,,0.0,dS0em,N,852.0,7.35,SBF
KKSG34,12,41,18.9,-,11,55,39,0.69,0.88,0.23,>,23.0,18.0,,,13.69,*,>,18.2,,-3.0,Sph,L,,9.3,mem
NGC4618,12,41,32.8,+,41,9,3,4.17,0.76,0.1,,13.02,11.31,,14.76,8.66,,,13.08,90.0,6.0,,,536.0,7.9,TF
LV J1241+3251,12,41,47.3,+,32,51,28,0.79,0.57,0.08,,17.51,16.4,,,13.98,*,,17.14,27.0,10.0,Ir,N,693.0,7.3,mem
NGC4625,12,41,52.7,+,41,16,26,1.66,0.78,0.08,,14.56,13.03,,16.44,9.75,,,14.1,51.0,7.0,,,606.0,7.9,mem
NGC4627,12,41,59.7,+,32,34,25,1.82,0.69,0.07,,17.47,13.01,,23.76,8.85,*,,,,-3.0,,,542.0,7.3,mem
NGC4631,12,42,8.0,+,32,32,29,16.6,0.17,0.07,,11.45,9.75,,13.96,6.47,,,10.86,183.0,7.0,,,583.0,7.38,TRGB
IC3687,12,42,15.1,+,38,30,7,5.13,0.88,0.09,,14.79,13.79,,16.88,11.12,,,14.38,36.0,10.0,Ir,N,350.0,4.57,TRGB
BTS151,12,43,24.6,+,32,28,56,0.78,0.61,0.07,>,23.0,17.4,,,13.24,*,,,,-2.0,Sph,L,,7.3,mem
LV J1243+3232,12,43,44.6,+,32,32,4,0.35,0.65,0.07,>,23.0,19.0,,,14.84,*,,,,-1.0,Sph,L,,7.3,mem
KDG192,12,43,45.0,+,53,57,32,1.07,0.63,0.06,,17.47,16.6,,,14.2,*,,15.48,69.0,10.0,Ir,L,443.0,7.45,h
LV J1243+4127,12,43,55.7,+,41,27,25,1.38,0.43,0.08,,19.36,17.2,,,14.78,*,,17.2,16.0,10.0,Ir,L,402.0,6.09,h
KK160,12,43,57.4,+,43,39,41,0.59,0.75,0.11,,21.41,17.43,,24.25,14.98,*,,17.52,22.0,10.0,Ir,L,293.0,4.31,TRGB
NGC4656,12,43,57.6,+,32,10,13,12.88,0.15,0.06,,11.6,10.96,,14.04,8.0,,,11.51,146.0,8.0,,,638.0,5.4,TF
[KK2000] 51,12,44,21.5,-,42,56,23,0.55,0.44,0.38,>,23.0,17.3,,,14.6,*,>,17.8,,10.0,Tr,L,,3.6,mem
DDO143,12,44,25.1,+,34,23,11,2.24,0.36,0.08,,15.9,16.0,,17.73,13.58,*,,14.55,50.0,10.0,Ir,L,607.0,9.1,TF
UGCA294,12,44,38.1,+,28,28,21,1.1,0.57,0.07,,15.99,14.82,,,12.41,*,,15.58,60.0,9.0,BCD,N,955.0,9.9,TF
ESO381-018,12,44,42.7,-,35,58,0,0.79,0.58,0.27,,,15.72,,,13.52,,,15.98,40.0,10.0,Ir,N,624.0,5.32,TRGB
IC3718,12,44,46.0,+,12,21,5,2.57,0.3,0.13,,18.39,14.0,>,19.88,11.91,,,17.18,71.0,8.0,,,849.0,6.8,TF
ESO381-020,12,46,0.4,-,33,50,17,2.82,0.4,0.28,,15.6,14.44,,17.04,12.11,,,13.59,78.0,10.0,Ir,L,589.0,5.45,TRGB
VCC2033,12,46,4.5,+,8,28,35,0.55,0.91,0.1,,17.37,15.3,,,12.45,,,18.27,23.0,9.0,BCD,H,1485.0,9.8,TF
VCC2037,12,46,15.3,+,10,12,12,1.2,0.46,0.11,,17.9,15.8,,,13.35,*,,18.5,29.0,10.0,Ir,N,1142.0,7.4,TF
UGCA298,12,46,55.4,+,26,33,51,0.89,0.78,0.06,,17.85,15.25,,,12.43,,,17.8,65.0,9.0,BCD,N,844.0,11.0,TF
UGC07950,12,46,56.4,+,51,36,47,1.38,0.74,0.06,,15.35,14.6,,18.36,12.12,,,15.46,57.0,9.0,Im,N,508.0,8.9,TF
DDO147,12,46,59.8,+,36,28,35,1.45,0.79,0.08,,16.09,15.12,,19.52,12.7,*,,14.55,30.0,10.0,Ir,L,331.0,5.4,TF
FGC1497,12,47,0.6,+,32,39,5,1.07,0.17,0.06,,18.79,16.8,,,14.13,*,,17.02,91.0,8.0,,,519.0,23.4,TF
HIPASS J1247-77,12,47,32.6,-,77,35,1,0.66,0.48,3.2,,,18.0,,,13.5,,,15.55,32.0,10.0,Ir,L,413.0,3.16,TRGB
NGC4707,12,48,22.9,+,51,9,53,2.09,0.8,0.05,,15.16,13.43,,17.66,11.73,,,14.77,67.0,10.0,Ir,N,468.0,5.8,TF
DDO148,12,48,43.1,-,5,15,14,2.34,0.74,0.12,,17.36,13.7,,,10.99,*,,16.04,43.0,8.0,,,1337.0,9.0,TF
KK165,12,48,52.7,+,31,58,13,0.72,0.93,0.07,>,23.0,17.5,,,13.34,*,,,,-1.0,Tr,L,,5.4,mem
NGC4700,12,49,7.6,-,11,24,41,4.07,0.21,0.2,,14.26,12.63,,17.72,10.49,,,14.08,123.0,7.0,,,1411.0,7.3,TF
KK166,12,49,13.3,+,35,36,45,0.6,0.59,0.06,>,23.0,17.62,,24.25,13.47,*,,,,-3.0,Tr,L,,4.74,TRGB
MAPS1249+44,12,49,31.0,+,44,21,33,0.47,0.53,0.07,,18.86,17.1,,,14.69,*,,17.59,36.0,9.0,Im,N,513.0,7.84,h
UGC07983,12,49,47.0,+,3,50,32,0.81,0.68,0.18,,18.05,16.2,,,13.69,*,,15.64,28.0,10.0,Ir,N,694.0,9.4,TF
UGC07990,12,50,27.2,+,28,21,10,1.17,0.52,0.06,,,16.2,,21.38,13.51,*,,16.38,87.0,8.0,,,512.0,20.4,TF
NGC4736,12,50,53.5,+,41,7,10,15.14,0.81,0.08,,11.9,8.7,,13.21,5.11,,,13.36,207.0,2.0,,,308.0,4.66,TRGB
BTS157,12,51,13.3,+,47,4,15,0.52,0.82,0.15,,21.23,17.5,,,15.01,*,,18.15,18.0,10.0,Ir,L,572.0,8.83,mem
KK167,12,51,44.4,+,26,6,38,0.85,0.72,0.04,,17.48,16.39,,,14.0,*,,16.45,37.0,10.0,Ir,N,1248.0,9.2,TF
IC3840,12,51,46.1,+,21,44,7,0.95,0.48,0.17,,17.71,16.9,,,14.39,*,,16.51,33.0,10.0,Ir,N,557.0,5.5,TF
NGC4765,12,53,14.4,+,4,27,47,1.86,0.73,0.18,,15.04,13.37,,,10.82,,,14.7,77.0,9.0,BCD,H,722.0,9.7,TF
KKSG38,12,53,31.6,-,5,55,40,0.87,0.46,0.15,,17.97,17.0,,,14.51,*,,17.51,44.0,10.0,Ir,N,1071.0,10.4,TF
DDO153,12,53,57.5,-,12,6,31,2.54,0.31,0.23,,15.9,14.59,,17.36,12.03,*,,14.01,68.0,9.0,Im,N,821.0,8.0,TF
DDO154,12,54,5.2,+,27,8,55,2.14,0.73,0.04,,14.88,14.1,,18.19,12.33,,,13.16,80.0,10.0,Ir,N,374.0,4.04,TRGB
UGC08030,12,54,29.4,+,26,18,18,1.23,0.56,0.04,,18.32,16.6,,,14.21,*,,17.02,53.0,10.0,Ir,L,628.0,15.3,TF
ESO443-009,12,54,53.6,-,28,20,27,0.71,0.75,0.28,,18.37,17.01,,,14.4,*,,16.8,29.0,10.0,Ir,L,645.0,5.78,TRGB
KDG215,12,55,40.5,+,19,12,33,1.17,0.54,0.09,,18.86,16.9,,,14.47,*,,15.79,25.0,10.0,Ir,L,419.0,5.5,TF
ESO219-010,12,56,9.6,-,50,8,38,0.68,0.79,0.96,,,16.42,,20.27,11.44,*,>,19.7,,-3.0,Sph,N,,4.29,SBF
KDG216,12,56,25.0,+,15,5,9,1.12,0.86,0.08,>,23.0,16.9,,,12.73,*,>,17.8,,-3.0,Tr,L,,6.0,txt
UGC08061,12,56,43.4,+,11,55,52,0.83,0.8,0.13,,18.0,15.97,,20.49,13.5,*,,16.58,56.0,10.0,Ir,N,563.0,6.49,h
NGC4826,12,56,44.2,+,21,41,5,13.8,0.52,0.18,,13.92,9.3,,13.96,5.33,,,13.38,302.0,2.0,,,409.0,4.37,TRGB
CVnII,12,57,10.0,+,34,19,15,2.5,0.61,0.04,,21.43,16.95,,,12.81,*,>,16.6,,-3.0,Sph,X,-129.0,0.16,HB
MCG-02-33-075,12,58,28.3,-,10,34,37,2.96,0.46,0.22,,,14.7,,,11.8,,,16.59,53.0,8.0,,,1267.0,8.7,TF
GR8,12,58,40.4,+,14,13,3,1.66,0.91,0.11,,15.41,14.79,,17.23,12.9,,,15.24,26.0,10.0,Ir,N,217.0,2.13,TRGB
