Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
FM1,9,45,10.0,+,68,45,54,0.89,0.89,0.31,>,23.0,17.5,,24.25,13.12,*,>,18.2,,-3.0,Sph,L,,3.4,TRGB
RKK1610,9,45,24.8,-,48,8,29,0.93,0.68,2.08,,,16.9,,,12.63,*,,15.01,79.0,10.0,Ir,L,882.0,14.9,TF
NGC2976,9,47,15.6,+,67,54,49,5.75,0.46,0.3,,13.77,11.01,,14.45,7.53,,,13.52,91.0,7.0,,,6.0,3.56,TRGB
AGC191803,9,48,5.9,+,7,7,45,0.72,0.47,0.11,,18.56,16.5,,,14.05,*,,16.78,55.0,9.0,Im,N,535.0,14.9,TF
KK77,9,50,10.0,+,67,30,24,2.4,0.75,0.62,>,23.0,16.3,,24.41,11.63,*,>,18.2,,-3.0,Sph,L,,3.48,TRGB
KK78,9,50,19.6,+,31,27,24,0.41,0.6,0.09,,18.58,17.68,,20.96,15.25,*,,16.7,20.0,10.0,Ir,N,539.0,7.1,mem
DDO064,9,50,22.4,+,31,29,15,2.19,0.38,0.1,,15.13,14.46,,17.31,12.45,,,14.5,84.0,10.0,Ir,N,521.0,7.11,BS
UGC05288,9,51,17.2,+,7,49,38,1.45,0.62,0.15,,15.99,14.62,,17.53,11.49,,,14.3,93.0,9.0,BCD,N,557.0,6.85,BS
NGC3037,9,51,24.0,-,27,0,40,1.29,0.87,0.39,,15.9,13.64,,16.76,11.12,,,14.59,91.0,8.0,,,887.0,8.1,h
BK3N,9,53,48.5,+,68,58,9,0.32,0.8,0.35,,19.45,18.78,,25.17,16.11,*,,15.7,15.0,10.0,Ir,N,-40.0,4.02,TRGB
LV J0954+3620,9,54,50.6,+,36,20,2,0.34,0.67,0.04,,19.82,17.93,,,15.54,*,,18.78,35.0,10.0,Ir,N,503.0,15.4,TF
KKSG15,9,55,10.5,-,6,16,12,1.29,0.23,0.18,,18.0,15.14,,20.77,12.63,*,,16.33,54.0,10.0,Ir,N,791.0,9.7,mem
[CKT2009]d0955+70,9,55,13.6,+,70,24,29,0.35,0.87,0.64,>,23.0,19.5,,,14.81,*,,,,-3.0,Sph,X,,3.93,TRGB
MESSIER081,9,55,33.5,+,69,4,0,28.18,0.52,0.36,,11.45,7.79,,12.13,3.83,,,10.03,423.0,3.0,,,-38.0,3.63,Cep
MESSIER082,9,55,53.9,+,69,40,57,11.48,0.38,0.69,,13.91,9.06,,11.58,4.67,,,11.19,147.0,8.0,,,183.0,3.53,TRGB
LV J0956-0929,9,56,37.6,-,9,29,11,0.93,0.73,0.28,,19.09,15.89,,20.83,13.28,*,>,17.4,,9.0,BCD,N,627.0,5.18,h
DDO068,9,56,45.7,+,28,49,30,2.0,0.37,0.08,,15.22,14.77,,18.16,12.82,,,13.97,74.0,10.0,Ir,N,503.0,9.8,TF
KDG061,9,57,2.7,+,68,35,30,1.41,0.58,0.31,,22.41,15.24,,19.75,10.86,*,,,,-1.0,Sph,N,221.0,3.6,TRGB
ClumpI,9,57,21.2,+,68,42,55,0.18,0.72,0.31,>,23.0,19.8,>,23.96,17.17,*,,,,10.0,Ir,N,-165.0,3.6,mem
A0952+69,9,57,29.0,+,69,16,20,1.82,0.53,0.37,,18.02,16.8,,20.0,14.11,*,,16.26,48.0,10.0,Ir,L,99.0,3.87,TRGB
HolmIX,9,57,32.4,+,69,2,35,2.63,0.8,0.35,,15.63,14.53,,19.04,11.86,*,,12.63,50.0,10.0,Ir,N,50.0,3.61,TRGB
[CKT2009]d0958+66,9,58,48.5,+,66,50,59,0.87,0.58,0.26,,18.82,16.0,,,13.41,*,,19.07,22.0,9.0,BCD,N,90.0,4.04,TRGB
