galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange,Mstar_ahf_cat
13,46,2300,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,82778900000.0
14,4,200,projection_xy,band_g,3634556.7415033747,65,0.5394888204333537,-0.0633819291184535,2.789659349601292,2.029728868664768,0.740540792392264,none,67175870.0,0.8122047839395375,0.0666181811203129,0.5,8,125215000000.0
14,4,200,projection_xy,band_g,1536777.5518625122,45,0.2927954638778901,0.3152151587841056,3.7116226812671296,3.441307664449317,1.899805028828055,none,122086340.0,0.923134457907195,0.0226822456730597,0.9,12,125215000000.0
14,4,200,projection_yz,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,125215000000.0
14,4,200,projection_zx,band_g,error,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,125215000000.0
15,25,1250,projection_xy,band_g,66523431.64140046,2,6.9391088675409245,0.4592961051060973,0.3120785994392233,0.3085399215267819,1.145406986542956,none,31118246.0,0.9912478713749856,0.0018098908406144,0.5,6,86051500000.0
15,25,1250,projection_xy,band_g,729747.3754992095,3,0.1710997892179246,-0.8437092508541152,17.747196749550437,14.349999977246402,1.6976155941432092,none,2946184000.0,0.8103236172300824,0.011826741160394,0.9,12,86051500000.0
15,25,1250,projection_yz,band_g,11616884.521241775,90,-1.2763949835021278,-0.0155413237984287,11.816849924922982,10.32573555200308,0.2790748197395224,none,2202094000.0,0.880486872340155,0.0071020357693642,0.5,12,86051500000.0
15,25,1250,projection_yz,band_g,1218448.1421508412,2,-1.1837410369662262,0.3895242070600554,16.34732401984554,15.400853277639184,0.3374503499777388,none,3971279600.0,0.9410043865872472,0.0085733868746866,0.9,12,86051500000.0
15,25,1250,projection_zx,band_g,4590646.383511075,53,1.0012409608607775,0.7158729287929604,13.115054094592937,4.218363891508508,0.4540557864397181,none,1166007900.0,0.3539609514139381,0.0291900300823019,0.5,8,86051500000.0
15,25,1250,projection_zx,band_g,592342.1882941212,2,0.0465933688405674,0.2290419573540539,18.58037990834868,15.152414910462555,0.3799649420849667,none,2445439000.0,0.8172117210889743,0.0126730475811718,0.9,12,86051500000.0
16,24,1200,projection_xy,band_g,1764406.4610943946,81,0.3545294881520103,1.2575833588731666,13.184742293348965,9.503019721004849,2.762191844427922,none,837388700.0,0.7132407188892065,0.0328635900334815,0.5,8,109319000000.0
16,24,1200,projection_xy,band_g,515189.0274772471,2,-0.1657542146906724,0.0165867893648492,21.025657177741493,16.879184063507655,2.779346108275528,none,1595968000.0,0.8040514633215401,0.0097695204551242,0.9,12,109319000000.0
