galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie
1040,13,650,projection_xy,band_u,0.7354022574816794,1.5411187951112972,0.663625628343911,2.4330023124769338,5.694544765485167
1040,13,650,projection_xy,band_r,0.7257778398758699,1.5287843259052494,0.6506754666459875,2.4155552262055444,5.596043553919691
1040,13,650,projection_yz,band_u,0.7710320384960009,1.4794154774056407,0.8054690721859241,1.8280770580162136,5.897163733179899
1040,13,650,projection_yz,band_r,0.7815261561045401,1.498956962361421,0.8251798601683666,1.8001576725651598,5.790442126155548
1040,13,650,projection_zx,band_u,0.5663072272898055,3.077488047644684,0.7511463322885181,2.442973867184834,5.78135561386359
1040,13,650,projection_zx,band_r,0.5653413223494301,3.083450968366903,0.7521170192983415,2.4306512311795747,5.674807153550506
475,25,1250,projection_xy,band_u,0.9829948756037868,0.884239087069685,0.49702096738300916,0.24179872696000423,8.6512725703473
475,25,1250,projection_xy,band_r,0.6003886696977399,1.6728545534810368,0.5329343429267452,4.701165254275571,6.781374336983034
475,25,1250,projection_yz,band_u,0.7744823604103779,1.4850779966605199,3.2435998726888333,2.6133691298041715,7.056928721286615
475,25,1250,projection_yz,band_r,0.42418681017003174,1.6633880486426924,0.73658701524915,3.357496251032318,7.097458095485826
475,25,1250,projection_zx,band_u,0.7623575031603516,3.139627870057651,2.8542842724414594,1.8762272535225293,7.295546105522065
475,25,1250,projection_zx,band_r,0.2978358079232867,0.02931626313195118,0.5618107857246692,4.848802033596071,7.00913498614157
70,50,2500,projection_xy,band_u,0.17544579321652728,1.5877474031416692,0.3602753433857973,16.31030672046515,7.157804908689546
70,50,2500,projection_xy,band_r,0.22288410714134949,1.6099684747424314,0.4099710888483178,15.509410370360406,7.054333878170861
70,50,2500,projection_yz,band_u,0.40231464268407086,0.12786647650825742,0.6989543425350406,10.4886840084053,6.880393587139702
70,50,2500,projection_yz,band_r,0.5071447949526584,0.15093313648623788,0.6659219134284551,9.100533207901075,6.949447541469013
70,50,2500,projection_zx,band_u,0.26157009991653685,2.514714089660286,2.473353739609582,32.130111863832035,6.278405052949583
70,50,2500,projection_zx,band_r,0.35356847374560985,2.87028873670902,0.4362306570410125,15.362485947594344,6.8921595942766505
791,20,1000,projection_xy,band_u,0.42084106243798136,1.5251245294517404,1.9704366478927255,4.161147158353443,6.496808691825813
