galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat,flag
206,13,650,projection_xy,band_g,0.692383803467559,2.011167187695807,0.3600000024675306,5.102859216874431,6.447211246163473,3693380000.0,fit
206,13,650,projection_yz,band_g,0.5391531337894069,2.3923202225275637,0.3600000015724031,5.17913830712843,6.458624120433864,3693380000.0,fit
206,13,650,projection_zx,band_g,0.6881306648688722,2.6241254260193507,0.3600000004648158,5.171654601505979,6.443618933393133,3693380000.0,fit
223,18,900,projection_xy,band_g,0.6424193526556055,2.7109798001268657,0.3600000037449213,7.347234582787531,6.305807453091297,11265800000.0,fit
223,18,900,projection_yz,band_g,0.8971832839804885,0.6652655412949067,0.3600000046327752,6.853399690238308,6.324528887773703,11265800000.0,fit
223,18,900,projection_zx,band_g,0.6619401253529016,1.2147009017912795,0.3600000046288301,7.303286698492725,6.31147219710209,11265800000.0,fit
227,9,450,projection_xy,band_g,0.8936893072898702,1.1541963319425106,0.3600000094197813,4.202223567934777,6.3765015632666335,5252850000.0,fit
227,9,450,projection_yz,band_g,0.7420503040018527,2.199738719564509,0.3600000009199891,4.360120082111012,6.381928156120273,5252850000.0,fit
227,9,450,projection_zx,band_g,0.9999995239856452,1.6200064629702915,0.658656209494461,4.645786144701099,6.191173905125654,5252850000.0,fit
231,24,1200,projection_xy,band_g,0.4679175590697201,0.61397096795357,0.4602884349559888,6.923155622185691,6.686164525250632,6080620000.0,none
231,24,1200,projection_yz,band_g,0.7815555735961467,0.2107095050085941,0.3600000028756246,6.619354303373411,6.70821377202261,6080620000.0,fit
231,24,1200,projection_zx,band_g,0.4757049061312242,2.0258302185178945,0.3600000024989374,7.663531628628784,6.674052005684635,6080620000.0,fit
237,19,950,projection_xy,band_g,0.6777613622286565,0.0002249898700481,0.3600000007328041,6.9438710661835215,6.37247912279339,8599490000.0,fit
237,19,950,projection_yz,band_g,0.9352033147460233,1.3821872142076046,0.3600000033436641,6.489081868118936,6.381967392815935,8599490000.0,fit
237,19,950,projection_zx,band_g,0.5799000976851663,1.1202397697037063,0.3600000061331559,7.14343479525177,6.369113831738431,8599490000.0,fit
242,20,1000,projection_xy,band_g,0.9439299228878124,1.9806078939640668,0.429029034893682,5.792235919871316,6.356419442318507,6454760000.0,none
242,20,1000,projection_yz,band_g,0.8408432625194634,1.0349133429588218,0.4194730403627004,5.751908939462076,6.400203474218268,6454760000.0,none
242,20,1000,projection_zx,band_g,0.8774565244753828,3.1035737661893177,0.3787428767059031,5.775852111548686,6.388787569865136,6454760000.0,none
248,29,1450,projection_xy,band_g,0.3960111357610421,0.7389736699156466,0.3807940601833657,8.98133221059305,7.034956014636486,3430050000.0,none
248,29,1450,projection_yz,band_g,0.8400616905656119,2.151829029568006,0.4133573801894927,6.858434319113674,6.981418930515316,3430050000.0,none
248,29,1450,projection_zx,band_g,0.5311358179395631,0.7613942964517313,0.3600000006526618,8.027798101992742,7.02676436506969,3430050000.0,fit
253,22,1100,projection_xy,band_g,0.970478600506564,0.2267544666301497,0.3600000002371846,7.382289995119122,6.344074884301056,8570740000.0,fit
253,22,1100,projection_yz,band_g,0.9999998359946904,0.7424384393177235,0.5657782929167929,6.705400914010215,6.184887114441724,8570740000.0,fit
253,22,1100,projection_zx,band_g,0.5014979008839726,3.102893255187254,0.3600000040922213,8.444533623962869,6.33168788656932,8570740000.0,fit
