galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat,flag
315,15,750,projection_xy,band_u,0.962386462261266,1.6306243093431324e-09,1.3272681428935802,2.2058753246409306e-08,0.3600000001275601,1.3497367325521043e-09,6.599036768724897,7.860633638395735e-09,6.38672669191698,7.365119101912855e-10,6064290000.0,fit
315,15,750,projection_yz,band_r,0.2993608473522607,4.897444984038026e-10,2.2023799952606224,5.37910824225353e-10,0.36519942745131,1.3026699698475095e-09,6.91802225142838,7.943654697524456e-09,6.634213171677745,7.105059180137131e-10,6064290000.0,fit
315,15,750,projection_yz,band_u,0.093388722473847,1.7080055716063928e-10,2.2316993381987262,1.7126416492871526e-10,0.360000013471152,1.4645196993746607e-09,9.337536315291084,1.2120211502457893e-08,6.711663543392656,7.981433440694876e-10,6064290000.0,fit
315,15,750,projection_zx,band_r,0.6236545696027587,8.911700237875401e-10,2.9605927849032936,1.4575954206330712e-09,0.3600000033350136,1.132224997149557e-09,6.210352315012703,6.219278873938731e-09,6.58044103823752,6.185872867221426e-10,6064290000.0,fit
315,15,750,projection_zx,band_u,0.7210698093063409,1.2854159095103646e-09,2.8436538139872973,2.671893760519845e-09,0.3600000001484539,1.4200472053193487e-09,6.825760754518719,8.578651566612502e-09,6.413133331951458,7.749979735270474e-10,6064290000.0,fit
316,31,1550,projection_xy,band_r,0.5202672824553884,2.5146121723405324e-10,2.4520880842603554,3.4478766954932927e-10,0.6072656032365817,5.001243009210257e-10,6.029807191032069,2.371558330005997e-09,7.092972411925642,2.5601093969327184e-10,2374670000.0,none
316,31,1550,projection_xy,band_u,0.9999999860370508,3.2671382082198303e-10,0.0920394725213924,0.0116987779912164,1.9705771471764413,7.8407088002551e-10,4.917823073728548,2.6709704377068355e-09,7.002490729392275,3.6164062739098846e-10,2374670000.0,fit
316,31,1550,projection_yz,band_r,0.7276967089138345,3.5404881620101794e-10,2.076120564089754,7.525628060450006e-10,0.5263543109026048,4.6450378852724093e-10,5.264589373422211,1.9791620032243077e-09,7.083208569958931,2.4180347789149126e-10,2374670000.0,none
316,31,1550,projection_yz,band_u,0.6982181074403087,2.0176986289653728e-10,0.974808294112416,3.9497320792532366e-10,4.453021052576156,1.5595407124112204e-09,14.95714796626517,1.5715757186470682e-08,6.265351772573143,6.880196043220325e-10,2374670000.0,none
316,31,1550,projection_zx,band_r,0.6580791023180043,3.399647300095617e-10,2.429685130807971,5.996570848296821e-10,0.7060071493042134,5.85091979674567e-10,5.565341716665776,2.492246504842814e-09,7.036770312606485,2.9444688812771205e-10,2374670000.0,none
316,31,1550,projection_zx,band_u,0.6157271008960415,1.4557862574554174e-10,1.9750555804399827,2.3502582052018603e-10,4.328824241853804,1.240582554200106e-09,8.922078954386457,7.327399800736795e-09,6.62521573633675,5.403249706246093e-10,2374670000.0,none
325,25,1250,projection_xy,band_r,0.7413868742893236,9.2309373849177e-10,0.5119794902928797,2.0497456595853827e-09,0.472329587422449,1.1222914185032003e-09,7.353672072268826,6.838807969689502e-09,6.529076106113704,5.919242233710425e-10,7675830000.0,none
325,25,1250,projection_xy,band_u,0.7790199097709045,1.5978881231148175e-09,0.2794380192477377,4.064542174099586e-09,0.4115140608106995,1.7258952690542391e-09,8.442070862084757,1.2468415736309602e-08,6.242945702285708,9.262233361998128e-10,7675830000.0,none
325,25,1250,projection_yz,band_r,0.8697431060146205,1.0020037506857795e-09,0.4100885239189489,4.114212161151178e-09,0.4472166150442505,1.0099030495088544e-09,7.1517715960271495,6.060118916694349e-09,6.541105514402416,5.362625360551307e-10,7675830000.0,none
325,25,1250,projection_yz,band_u,0.999999979721789,2.0607412280754687e-09,0.0819198964357106,0.050811696827632,0.4757289879064784,1.864414727048991e-09,6.992655101088681,1.0785881531457692e-08,6.266987145466633,9.82474100697961e-10,7675830000.0,fit
325,25,1250,projection_zx,band_r,0.9999999968861394,1.1328175888007875e-09,2.8723051142085936,0.1818992126868055,0.4627987837902376,1.0104376931034343e-09,6.30642150322967,5.304753495473541e-09,6.572246617317036,5.342686020794231e-10,7675830000.0,fit
325,25,1250,projection_zx,band_u,0.7848980377800233,1.4418989830548075e-09,1.2627296874074887,3.755580021429227e-09,0.360000018841102,1.4525694098695775e-09,8.20112289784583,1.0542066338948691e-08,6.300330283191364,7.940566354905975e-10,7675830000.0,fit
328,17,850,projection_xy,band_r,0.9062447478349538,7.158310448043122e-10,0.5411137900877541,4.005311269200744e-09,0.3710416898654566,6.331469517717496e-10,5.373344907998109,2.987364378161734e-09,6.819857255122635,3.4459918944514755e-10,6074490000.0,none
328,17,850,projection_xy,band_u,0.8803821345953324,9.085756122496463e-10,0.4865594140187194,4.0394217276234e-09,0.3914826233540237,8.48008950612762e-10,5.632971690842533,4.138129091421498e-09,6.690181879525646,4.5811858698592656e-10,6074490000.0,none
