pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,1906,projection_zx,78708952.2688,-15.04144879702954,76661889.43360001,-13.094207421124402,23,86632923.136,-14.410060328350903
550,984,projection_xy,355166034.32960004,-16.671334581115346,343980507.13600004,-14.647271509668364,30,362166773.35040003,-16.046078565285036
550,984,projection_yz,354503255.6544,-16.669881058091313,343520313.34400004,-14.644471194201664,30,361233881.4976,-16.044050569927812
550,984,projection_zx,354554898.0224,-16.670037888785984,343569937.20320004,-14.644696433865704,30,361308828.46720004,-16.04420872335556
550,1700,projection_xy,26936293.785600003,-13.677071473163531,21818685.849600002,-12.100884934839197,14,34701957.5296,-13.245844600294559
550,1700,projection_yz,27207958.528,-13.684705426149732,21972636.4672,-12.115215105591027,14,35163009.8432,-13.256739892368772
550,1700,projection_zx,26962008.4736,-13.678612349837438,21849672.908800002,-12.101193484494232,14,34711820.6976,-13.246880602124067
550,1518,projection_xy,10616999.936,-12.412495579318284,6807665.8688,-11.413032565111614,4,18416751.4112,-12.23500453684805
550,1518,projection_yz,10702462.1568,-12.41862366510797,6846198.169600001,-11.423586278587955,4,18596641.1776,-12.243709252181075
550,1518,projection_zx,10660304.4864,-12.415507238427734,6826575.462400001,-11.41799884796633,4,18501184.7168,-12.239424023657621
550,404,projection_xy,380760070.5536,-16.89545167608498,422844484.81280005,-14.665381877745801,18,368258475.62240005,-16.12162849655349
550,404,projection_yz,401967992.01280004,-16.932724097046233,437612419.48160005,-14.7369082556067,18,393335642.5216,-16.180478680934712
550,404,projection_zx,744856433.4592,-17.478802428373314,723637344.6656001,-15.603431183035653,18,873720394.5472001,-16.850181432995313
550,1073,projection_xy,44858212.352000006,-14.278112798961685,37952913.408,-12.593110117233671,18,54606462.976,-13.799604906224188
550,1073,projection_yz,46016754.4832,-14.29461609033199,38534207.8976,-12.633025031168742,18,56651317.248,-13.827289962616563
550,1073,projection_zx,48471248.0768,-14.334242620076045,39966585.651200004,-12.706424449199044,18,60613558.272,-13.883710506078552
550,14442,projection_xy,13537964.851200001,-13.108028962515727,12918484.992,-11.24640539382516,19,15796546.764800001,-12.498883455495266
550,14442,projection_yz,13535268.864,-13.107871560465584,12916612.300800001,-11.246050384868308,19,15791382.528,-12.498667217497909
550,14442,projection_zx,13536900.7104,-13.10795997282501,12917664.1536,-11.246235112136333,19,15794069.504,-12.498798108722886
550,453,projection_xy,447134459.4944,-16.797595502482572,386400963.7888,-14.995594714816747,17,499157827.58400005,-16.296095352771026
550,453,projection_yz,418982972.6208,-16.740849543191146,366724408.9344,-14.907988857407638,17,460463852.74880004,-16.22549093422308
550,453,projection_zx,382613585.92,-16.681227286366173,347129013.8624,-14.766111213293879,17,404058721.48480004,-16.12690096745174
550,1151,projection_xy,105037856.768,-15.02131176384614,75253153.79200001,-13.792012119018551,16,164742194.7904,-14.723364629159024
550,1151,projection_yz,109260727.9104,-15.046969472539589,77052687.1552,-13.897318188343494,16,181521167.1552,-14.766160223798435
550,1151,projection_zx,110891669.91360001,-15.059767470728813,77966311.42400001,-13.904021211269292,16,182645293.056,-14.782247308870792
550,1510,projection_xy,27719906.099200003,-13.712846664911114,22549590.8352,-12.149178262745071,17,36280336.384,-13.276979386939216
550,1510,projection_yz,27117004.3904,-13.698588098076145,22255391.5392,-12.112368565218091,17,35070941.593600005,-13.253104278568697
