pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,679,projection_yz,155568504.83200002,-15.660054216660418,135525708.5952,-14.038902424188876,15,206804969.0624,-15.149804194324352
550,679,projection_zx,135174527.3856,-15.559889274878868,123582139.5968,-13.804635146999743,15,166668704.1536,-14.997237149536582
550,1430,projection_xy,4364877.4144,-11.636786756176656,3332074.4960000003,-10.191711657344463,9,5979772.5184,-11.26993012812389
550,1430,projection_yz,4358495.8464,-11.634780917468381,3325924.352,-10.19026560526244,9,5971813.580800001,-11.268341591109694
550,1430,projection_zx,4361529.7536,-11.636415190916845,3330934.3744,-10.190513857956297,9,5973179.1872000005,-11.269097098759081
550,1185,projection_xy,8333933.7728,-12.211972138668992,5659640.6272,-11.041254341589113,10,13076807.68,-11.972125112326848
550,1185,projection_yz,8299636.326400001,-12.209344253662602,5645958.758400001,-11.03413697178058,10,12991365.120000001,-11.96764765717573
550,1185,projection_zx,8335779.4304,-12.212273596741968,5661212.2624,-11.041399682534447,10,13078558.3104,-11.9723655360536
550,692,projection_xy,93717738.2912,-14.981463928991998,72541339.648,-13.655211914774135,17,145239506.944,-14.599554497840915
550,692,projection_yz,94801710.28480001,-14.992638065475516,73291772.72320001,-13.668704218215339,17,147055640.576,-14.612040430912439
550,692,projection_zx,92591338.2912,-14.972282770446972,71930504.8064,-13.653670827214718,17,145033501.0816,-14.586425903306322
550,2931,projection_xy,40581418.1888,-14.315725948737052,39290755.4816,-12.376330465405875,24,44723129.5488,-13.690818050361356
550,2931,projection_yz,40582008.0128,-14.31573364537862,39291034.0096,-12.376351546042713,24,44723997.900800005,-13.690833830702358
550,2931,projection_zx,40579704.422400005,-14.315688189128595,39289389.056,-12.376273028537398,24,44720763.699200004,-13.6907721984025
550,472,projection_xy,434322066.6368,-16.486859983802262,290231130.5216,-15.61725709841894,23,884917613.3632001,-16.26452973789521
550,472,projection_yz,377062450.7904,-16.391358065584413,265792808.55040002,-15.353253854205512,23,693907436.3392,-16.11103321495414
550,472,projection_zx,345943913.2672,-16.32164262068877,249262558.4128,-15.256101936285752,23,634513365.4016,-16.017514234460194
