lum_V,mag_U,lum_U,pixel,mag_V,sim,lum_J,mag_J,FOV,view
2055111.4752,-9.566428908846666,2304472.6784,550,-10.972088460604642,3698,2588928.6144000003,-11.462800189046252,11,projection_xy
2055111.4752,-9.566429487787047,2304473.9072000002,550,-10.972088460604642,3698,2588928.4096,-11.46280010315791,11,projection_yz
2055134.0032000002,-9.566449268064645,2304515.8912,550,-10.972100362309952,3698,2588936.3968,-11.462803452798173,11,projection_zx
2057563.7504,-9.545031371597645,2259501.0560000003,550,-10.973383250072889,9378,2678495.6416,-11.499727360083181,11,projection_xy
2057595.4944000002,-9.545044263305076,2259527.8848,550,-10.97340000063248,9378,2678508.544,-11.499732590096944,11,projection_yz
2057347.4816,-9.544834138912734,2259090.6368,550,-10.97326912325309,9378,2678410.8544,-11.499692990794557,11,projection_zx
1860957.3888,-9.445143023014479,2060901.3760000002,650,-10.864341072508683,10159,2411928.576,-11.385911107438575,13,projection_xy
1860962.9184,-9.445148849271746,2060912.4352000002,650,-10.864344298631988,10159,2411930.6240000003,-11.385912029350951,13,projection_yz
1860987.4944000002,-9.445173880243564,2060959.9488000001,650,-10.8643586368418,10159,2411938.6112,-11.385915624801736,13,projection_zx
628791967.7440001,-15.009702634541693,346641897.8816,700,-17.186267463356298,180,2507462305.3824,-18.928086032508837,14,projection_xy
552968860.4672,-14.887362623348182,309702741.1968,700,-17.046751688532815,180,2198511131.0336003,-18.78532167197168,14,projection_yz
588044042.24,-14.945992517068753,326886516.32640004,700,-17.113524635706945,180,2289386389.504,-18.829297741480936,14,projection_zx
81739520.4096,-13.415459861216927,79833274.7776,1400,-14.971080213116107,1502,121643912.39680001,-15.642725949450885,28,projection_xy
81692563.8656,-13.414429037769537,79757515.16160001,1400,-14.97045631577673,1502,121623465.1648,-15.64254343175908,28,projection_yz
81666283.9296,-13.413826855255675,79713291.46880001,1400,-14.970106985714661,1502,121612809.01120001,-15.642448299798904,28,projection_zx
8308429.619200001,-10.994434008680155,8585658.368,1300,-12.488797363261362,3521,11397280.5632,-13.072003098234838,26,projection_xy
8308192.051200001,-10.994380344913491,8585234.022400001,1300,-12.488766317699419,3521,11397192.0896,-13.07199466996434,26,projection_yz
8308958.8224,-10.994545264487641,8586538.1888,1300,-12.488866516735886,3521,11397501.747200001,-13.072024168624846,26,projection_zx
1602190.7456,-9.308898572582235,1817855.7952,550,-10.701785547207894,6211,2005076.992,-11.185327633860293,11,projection_xy
1602193.9200000002,-9.308902609110294,1817862.5536,550,-10.701787698360995,6211,2005077.6064000002,-11.185327966553864,11,projection_yz
1602161.4592000002,-9.308865423556874,1817800.2944,550,-10.701765700884671,6211,2005066.1376,-11.185321756257085,11,projection_zx
1754841533.6448002,-16.490078430687273,1355287311.1552,1300,-18.300594761875136,190,6244565359.0016,-19.91875553881851,26,projection_xy
1381897443.7376,-16.22946315364167,1066068869.12,1300,-18.041189533659963,190,4941899261.5424,-19.664734720632495,26,projection_yz
2636872522.1376,-16.983103938258044,2134231744.512,1300,-18.742722836551824,190,8383789583.5648,-20.238600924622904,26,projection_zx
985376961.3312,-15.486679960274778,537863389.184,1050,-17.6740060100195,325,3449002183.8848,-19.2742336733995,21,projection_xy
1103948677.1200001,-15.596842153238281,595301341.5936,1050,-17.79737220847913,325,3917695523.2256002,-19.41257670081518,21,projection_yz
1048880716.1856,-15.5145589681837,551853228.0320001,1050,-17.741815252304725,325,4002147834.2656,-19.435732817209733,21,projection_zx
708019277.0048001,-15.179071011542867,405161718.5792,950,-17.315112705604516,329,2439009586.3808002,-18.898033768213704,19,projection_xy
675980561.6128,-15.125802561445479,385763403.3664,950,-17.26483551904908,329,2312713430.6304,-18.840304556195626,19,projection_yz
642902497.6896,-15.06695595617359,365411644.2112,950,-17.210362782519702,329,2227540747.8784003,-18.799564143070683,19,projection_zx
1177983909.888,-16.285462405336453,1122496413.696,1000,-17.86784839613073,181,3925962496.4096003,-19.414865366483863,20,projection_xy
1234733052.7232,-16.249335406721666,1085760811.8272,1000,-17.918932684959433,181,4142437236.736,-19.473139842549973,20,projection_yz
1435970830.336,-16.478207962980374,1340550519.1936002,1000,-18.082864044833983,181,4820128969.5232,-19.63764664642852,20,projection_zx
229007740.10880002,-15.10364978339896,377972247.7568,800,-16.08962540268088,941,268005120.40960002,-16.500357728956214,16,projection_xy
230936438.37440002,-15.125223154000825,385557594.11200005,800,-16.098731159018698,941,268517428.4288,-16.50243119831809,16,projection_yz
228258611.20000002,-15.090844754543983,373540677.2224,800,-16.086067926371246,941,267891454.7712,-16.49989715164927,16,projection_zx
2188161895.6288,-17.304890972719917,2870492318.9248,1300,-18.540198627536867,316,3497383690.2400002,-19.289358201028406,26,projection_xy
2183679862.3744,-17.29964412342934,2856654051.7376003,1300,-18.53797242277032,316,3494693463.6544003,-19.288522719244426,26,projection_yz
2100138134.7328,-17.194429848194005,2592817440.3584003,1300,-18.495619652524372,316,3460047883.4688,-19.277705272547244,26,projection_zx
4195307.110400001,-10.338214421868994,4691219.660800001,600,-11.746909395313551,3270,5230105.3952,-12.226276101753548,12,projection_xy
